,amount_A,prob_A,EV_A,amount_B,prob_B,EV_B,amount_C,prob_C,EV_C
1,39.0,65.0,25.35,64.0,50.0,32.0,36.0,60.0,21.6
2,43.0,60.0,25.8,71.0,45.0,31.95,18.0,50.0,9.0
3,36.0,70.0,25.2,64.0,50.0,32.0,36.0,30.0,10.8
4,64.0,50.0,32.0,36.0,75.0,27.0,4.0,50.0,2.0
5,36.0,75.0,27.0,71.0,55.0,39.05,36.0,70.0,25.2
6,64.0,25.0,16.0,11.0,75.0,8.25,4.0,25.0,1.0
7,43.0,60.0,25.8,61.0,55.0,33.55,36.0,60.0,21.6
8,79.0,65.0,51.35,71.0,75.0,53.25,76.0,65.0,49.4
9,43.0,60.0,25.8,79.0,40.0,31.6,39.0,60.0,23.4
10,61.0,45.0,27.45,36.0,70.0,25.2,58.0,40.0,23.2
11,61.0,45.0,27.45,43.0,75.0,32.25,58.0,45.0,26.1
12,11.0,25.0,2.75,4.0,75.0,3.0,11.0,20.0,2.2
13,58.0,40.0,23.2,36.0,75.0,27.0,58.0,30.0,17.4
14,18.0,25.0,4.5,11.0,45.0,4.95,16.0,20.0,3.2
15,39.0,65.0,25.35,43.0,60.0,25.8,36.0,60.0,21.6
16,71.0,45.0,31.95,36.0,75.0,27.0,18.0,50.0,9.0
17,16.0,20.0,3.2,4.0,50.0,2.0,11.0,20.0,2.2
18,71.0,55.0,39.05,11.0,75.0,8.25,58.0,45.0,26.1
19,76.0,65.0,49.4,43.0,75.0,32.25,58.0,40.0,23.2
20,36.0,30.0,10.8,4.0,75.0,3.0,16.0,20.0,3.2
21,64.0,25.0,16.0,58.0,40.0,23.2,11.0,45.0,4.95
22,18.0,50.0,9.0,36.0,30.0,10.8,11.0,75.0,8.25
23,18.0,25.0,4.5,4.0,75.0,3.0,11.0,20.0,2.2
24,43.0,75.0,32.25,76.0,65.0,49.4,11.0,75.0,8.25
25,58.0,45.0,26.1,39.0,60.0,23.4,11.0,45.0,4.95
26,43.0,75.0,32.25,61.0,55.0,33.55,39.0,65.0,25.35
27,16.0,20.0,3.2,11.0,25.0,2.75,4.0,75.0,3.0
