success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,slider_start,ID,set_ID,prob,amount,last_location,actual_choice,actual_EV,binary_id,trinary_id,catch,A_key,D_key,choice_prob,choice_amount,potential_prize_prob,potential_prize_amount,won_prize,remaining_budget,total_prize
TRUE,FALSE,[],[],[],preload,0,4,0.0-0.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,1,8707,0.0-1.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
          <h1>שלום וברוכים הבאים!</h1>
          <p>לפניכם ניסוי בקבלת החלטות עם שני חלקים.
          <br><br>לחצו על העכבר כדי להמשיך.</p>",0,example,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,2,19394,0.0-2.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
        <h1>חלק 1</h1>
        <p>בקרוב יוצגו בפניכם הגרלות.
        <br>עליכם לבחור את המחיר המירבי שתהיו מוכנים לשלם כדי להשתתף בהגרלה שתוצג.
        <br>יש לכם תקציב של ₪80 לכל הגרלה. 
        <br>נסו להעריך כל הגרלה בנפרד ולחשוב כמה היא שווה עבורכם, ₪80 זמינים לכל הגרלה בנפרד.
        <br><br>לחצו על העכבר כדי להמשיך.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,3,30786,0.0-3.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
        <p>בסוף הניסוי, המחשב יבחר את אחת ההגרלות ויקבע מחיר לכרטיס עבורה. 
        <br>במידה והמחיר שבחרתם נמוך מהמחיר שנבחר על ידי המחשב, לא תשתתפו בהגרלה ותשארו עם מלוא התקציב.
        <br>במידה והמחיר שבחרתם גבוה מהמחיר שנבחר על ידי המחשב, תשלמו את המחיר שנקבע ותשתתפו בהגרלה.
        <br><br>לחצו על העכבר כדי להמשיך.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,4,47474,0.0-4.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,16578,"
        <p style=""font-size: 42px;"">נתחיל עם דוגמא: 
        <br>ההגרלה מטה מציעה 65% סיכוי לזכות ב-₪40 
        <br>&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&ensp;35% סיכוי לזכות ב-₪0.
        <br><br>מה המחיר המירבי שתהיו מוכנים לשלם על כרטיס להגרלה זו בין 0 ל-₪80?
        <br>הזיזו את העכבר על פני המלבן ולחצו כדי לבצע בחירה.</p>
        
        <p style=""text-align: center;"">₪40<br>65%</p>

        <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",5,example,52,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,5,61386,0.0-5.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>יפה מאוד!
                <br> בחרתם שתהיו מוכנים לשלם ₪5 כדי להשתתף בהגרלה:
                <br><p style=""text-align: center;"">₪40<br>65%</p>
                <p>נשמע נכון?
                <br>נניח שהגרלה זו נבחרה בסוף הניסוי.
                <br>כעת המחשב יקבע מחיר עבורה באקראי.
                <br>לחצו על העכבר להמשך.</p>",1,example,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,6,70442,0.0-6.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>המחשב קבע מחיר: ₪24
                <br>ואתם בחרתם לשלם לכל היותר: ₪5
                <br><br>מכיוון שהמחיר שבחרתם נמוך מהמחיר שנקבע, לא תתשתתפו בהגרלה.
                <br>במקרה כזה, בסוף הניסוי תקבלו את כל התקציב ההתחלתי של ₪80.
                <br><br>לחצו על העכבר להמשך.</p>",1,example,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,7,82299,0.0-7.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,11603,"<p style=""font-size: 42px;"">הנה עוד דוגמא:
                <br>ההגרלה מטה מציעה 35% סיכוי לזכות ב-₪18 
                <br>&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&ensp;65% סיכוי לזכות ב-₪0.</p>
        
                <p style=""text-align: center;"">₪18<br>35%</p>
                <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",2,example,37,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,8,90147,0.0-8.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>הייתם מוכנים לשלם  ₪2 כדי להשתתף בהגרלה:
                <p style=""text-align: center;"">₪18<br>35%</p>
                <p>כעת נניח שהמחשב בחר את ההגרלה הזו בסוף הניסוי, וקבע עבורה מחיר.
                <br><br>לחצו על העכבר כדי להמשיך.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,9,110587,0.0-9.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>המחשב קבע מחיר להגרלה: ₪2
                <br>ואתם בחרתם לשלם לכל היותר: ₪2
                <br><br>כעת המחיר שנקבע זהה לזה שבחרתם, אז תשלמו את המחיר שקבע המחשב (₪2) ותשתתפו בהגרלה.
                <br>במקרה כזה, תסיימו את הניסוי עם תקציב של ₪78 ועם סיכוי לזכות ב-₪18 נוספים מההגרלה.
                <br>כלומר, תוכלו לקבל ₪78 אם לא תזכו בהגרלה, או ₪96 אם תזכו בהגרלה.
                <br><br>לחצו על העכבר להמשך.</p>",1,example,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,10,119923,0.0-10.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>במהלך הניסוי, קודם תראו את ההגרלה ורק לאחר מכן תוכלו לבחור.
                <p>כמו כן, יהיו לכם מספר שניות מוגבל להגיב.
                <p>בואו ננסה זאת עם ההגרלה הקודמת.
                <br>לחצו על העכבר כדי להמשיך.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,11,121189,0.0-11.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                    <p style=""text-align: center;"">₪18<br>35%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",53,instructions,0,,,,,,,,,,,,,,,,,,,
