"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","slider_start","ID","set_ID","prob","amount","last_location","actual_choice","actual_EV","binary_id","trinary_id","catch","A_key","D_key","choice_prob","choice_amount","won_prize","potential_prize_amount","potential_prize_prob","total_prize","accuracy"
"true","false","[]","[]","[]","preload","0","11","0.0-0.0","8a13dda4-6463-4320-baa2-a54090512a31","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","11749","0.0-1.0","8a13dda4-6463-4320-baa2-a54090512a31","null","
          <h1>שלום וברוכים הבאים!</h1>
          <p>לפניכם ניסוי בקבלת החלטות עם שני חלקים.
          <br><br>לחצו על העכבר כדי להמשיך.</p>","0","example","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","22685","0.0-2.0","8a13dda4-6463-4320-baa2-a54090512a31","null","
        <h1>חלק 1</h1>
        <p>בקרוב יוצגו בפניכם הגרלות.
        <br>עליכם לבחור את המחיר המירבי שתהיו מוכנים לשלם כדי להשתתף בהגרלה שתוצג.
        <br>יש לכם תקציב של ₪80 לכל הגרלה. 
        <br>נסו להעריך כל הגרלה בנפרד ולחשוב כמה היא שווה עבורכם, ₪80 זמינים לכל הגרלה בנפרד.
        <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","32813","0.0-3.0","8a13dda4-6463-4320-baa2-a54090512a31","null","
        <p>בסוף הניסוי, המחשב יבחר את אחת ההגרלות ויקבע מחיר לכרטיס עבורה. 
        <br>במידה והמחיר שבחרתם נמוך מהמחיר שנבחר על ידי המחשב, לא תשתתפו בהגרלה ותשארו עם מלוא התקציב.
        <br>במידה והמחיר שבחרתם גבוה מהמחיר שנבחר על ידי המחשב, תשלמו את המחיר שנקבע ותשתתפו בהגרלה.
        <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","4","57654","0.0-4.0","8a13dda4-6463-4320-baa2-a54090512a31","24734","
        <p style=""font-size: 42px;"">נתחיל עם דוגמא: 
        <br>ההגרלה מטה מציעה 65% סיכוי לזכות ב-₪40 
        <br>&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&ensp;35% סיכוי לזכות ב-₪0.
        <br><br>מה המחיר המירבי שתהיו מוכנים לשלם על כרטיס להגרלה זו בין 0 ל-₪80?
        <br>הזיזו את העכבר על פני המלבן ולחצו כדי לבצע בחירה.</p>
        
        <p style=""text-align: center;"">₪40<br>65%</p>

        <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","25","example","72","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","64149","0.0-5.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>יפה מאוד!
                <br> בחרתם שתהיו מוכנים לשלם ₪25 כדי להשתתף בהגרלה:
                <br><p style=""text-align: center;"">₪40<br>65%</p>
                <p>נשמע נכון?
                <br>נניח שהגרלה זו נבחרה בסוף הניסוי.
                <br>כעת המחשב יקבע מחיר עבורה באקראי.
                <br>לחצו על העכבר להמשך.</p>","1","example","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","75509","0.0-6.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>המחשב קבע מחיר: ₪73
                <br>ואתם בחרתם לשלם לכל היותר: ₪25
                <br><br>מכיוון שהמחיר שבחרתם נמוך מהמחיר שנקבע, לא תתשתתפו בהגרלה.
                <br>במקרה כזה, בסוף הניסוי תקבלו את כל התקציב ההתחלתי של ₪80.
                <br><br>לחצו על העכבר להמשך.</p>","1","example","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","7","97854","0.0-7.0","8a13dda4-6463-4320-baa2-a54090512a31","22079","<p style=""font-size: 42px;"">הנה עוד דוגמא:
                <br>ההגרלה מטה מציעה 35% סיכוי לזכות ב-₪18 
                <br>&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&ensp;65% סיכוי לזכות ב-₪0.</p>
        
                <p style=""text-align: center;"">₪18<br>35%</p>
                <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","7","example","27","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","100517","0.0-8.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>הייתם מוכנים לשלם  ₪7 כדי להשתתף בהגרלה:
                <p style=""text-align: center;"">₪18<br>35%</p>
                <p>כעת נניח שהמחשב בחר את ההגרלה הזו בסוף הניסוי, וקבע עבורה מחיר.
                <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","116741","0.0-9.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>המחשב קבע מחיר להגרלה: ₪5<br>ואתם בחרתם לשלם לכל היותר: ₪7
                <br><br>כעת המחיר שנקבע נמוך מזה שבחרתם, אז תשלמו את המחיר שקבע המחשב (₪5) ותשתתפו בהגרלה.
                <br>במקרה כזה, תסיימו את הניסוי עם תקציב של ₪75 ועם סיכוי לזכות ב-₪18 נוספים מההגרלה.
                <br>כלומר, תוכלו לקבל ₪75 אם לא תזכו בהגרלה, או ₪93 אם תזכו בהגרלה.
                <br><br>לחצו על העכבר להמשך.</p>","1","example","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","126613","0.0-10.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>במהלך הניסוי, קודם תראו את ההגרלה ורק לאחר מכן תוכלו לבחור.
                <p>כמו כן, יהיו לכם מספר שניות מוגבל להגיב.
                <p>בואו ננסה זאת עם ההגרלה הקודמת.
                <br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","11","127877","0.0-11.0","8a13dda4-6463-4320-baa2-a54090512a31","1000","
                    <p style=""text-align: center;"">₪18<br>35%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","45","instructions","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","12","132142","0.0-12.0","8a13dda4-6463-4320-baa2-a54090512a31","null","
                    <p style=""text-align: center;"">₪18<br>35%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","null","instructions","40","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","136038","0.0-13.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>לא הגבתם בזמן המוקצב לתגובה. 
                <br>נסו להגיב מהר יותר בפעם הבאה.
                <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","14","139862","0.0-14.0-0.0","8a13dda4-6463-4320-baa2-a54090512a31","3571","
                    <p style=""text-align: center;"">₪40<br>65%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","25","instructions","77","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","143557","0.0-14.0-1.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>יפה. הפעם בחרתם לשלם לכל היותר ₪25.
                <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","152677","0.0-15.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p>כעת נתחיל את הניסוי.
                <br><br>אתם תראו הגרלות ותתבקשו לבחור כמה תהיו מוכנים לשלם כדי להשתתף בהן.
                <br>יש לכם תקציב של ₪80 עבור כל הגרלה.
                <br>בסוף הניסוי הגרלה אחת תבחר באקראי ותשוחק.
                <br><br>לחצו על העכבר כדי להתחיל את הניסוי.</p>","1","instructions","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","153951","0.0-16.0","8a13dda4-6463-4320-baa2-a54090512a31","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","18","154966","0.0-17.0-0.0","8a13dda4-6463-4320-baa2-a54090512a31","1000","
                  <p style=""text-align: center;"">₪36
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","11","3C,20A,22A","","","","","","","","","","","","","","","","",""
