TrialNumber,amount,prob,lottery_id,view_time,slider_time,rt,choice,mouse_start,view_ev_duration,eval_ev_duration,ev_duration,EV,run
1,16.0,20.0,8,3.009,4.013999999999999,4.798,3.0,79.0,1.005,4.805,5.81,3.2,2
2,39.0,65.0,16,15.025,16.031,4.212,22.0,67.0,1.006,4.212,5.218,25.35,2
3,39.0,60.0,15,27.041,28.045,3.698,18.0,37.0,1.004,3.699,4.702999999999999,23.4,2
4,71.0,45.0,26,39.056,40.07,2.785,33.0,11.0,1.014,2.786,3.8,31.95,2
5,11.0,20.0,4,51.076,52.085,3.03,3.0,33.0,1.009,3.03,4.039,2.2,2
6,11.0,45.0,6,63.094,64.101,3.856,4.0,11.0,1.007,3.855,4.862,4.95,2
7,18.0,25.0,9,75.111,76.11500000000001,,,75.0,1.004,5.01,6.013999999999999,4.5,2
8,61.0,55.0,23,87.12700000000001,88.13100000000001,,,24.0,1.004,5.007,6.010999999999999,33.55,2
9,79.0,40.0,30,99.13900000000002,100.14600000000004,2.535,33.0,67.0,1.007,2.536,3.543,31.6,2
10,61.0,45.0,22,111.15500000000004,112.16200000000003,4.52,25.0,58.0,1.007,4.521,5.528,27.45,2
11,58.0,45.0,21,123.16900000000004,124.17600000000004,2.829,22.0,3.0,1.007,2.823,3.83,26.1,2
12,43.0,75.0,18,135.17300000000003,136.18500000000003,3.748,37.0,24.0,1.012,3.749,4.761,32.25,2
13,36.0,75.0,14,147.19300000000004,148.19900000000004,4.139,28.0,28.0,1.006,4.14,5.146,27.0,2
14,11.0,75.0,7,159.21500000000003,160.23200000000003,3.706,8.0,77.0,1.017,3.707,4.724,8.25,2
15,36.0,70.0,13,171.235,172.247,3.577,26.0,71.0,1.012,3.578,4.59,25.2,2
16,11.0,25.0,5,183.258,184.264,3.163,4.0,66.0,1.006,3.172,4.178,2.75,2
17,58.0,30.0,19,195.274,196.286,4.333,21.0,54.0,1.012,4.334,5.346,17.4,2
18,76.0,65.0,29,207.303,208.318,3.337,45.0,46.0,1.015,3.338,4.353,49.4,2
19,79.0,65.0,31,219.329,220.335,2.669,43.0,20.0,1.006,2.669,3.675,51.35,2
20,0.0,0.0,32,231.351,232.366,5.0,0.0,0.0,1.015,5.009,6.024,0.0,2
21,0.0,0.0,33,243.39,244.397,5.0,0.0,0.0,1.007,5.015,6.021999999999999,0.0,2
22,18.0,50.0,10,255.428,256.434,4.658,7.0,3.0,1.006,4.659,5.665,9.0,2
23,71.0,75.0,28,267.451,268.46399999999994,3.741,57.0,42.0,1.013,3.742,4.755,53.25,2
24,36.0,30.0,11,279.473,280.482,3.001,11.0,50.0,1.009,3.001,4.01,10.8,2
25,4.0,25.0,1,291.48799999999994,292.48999999999995,,,1.0,1.002,5.001,6.003,1.0,2
26,71.0,55.0,27,303.49299999999994,304.4959999999999,2.79,37.0,73.0,1.003,2.791,3.794,39.05,2
27,64.0,25.0,24,315.5059999999999,316.5109999999999,3.543,15.0,70.0,1.005,3.544,4.549,16.0,2
28,4.0,75.0,3,327.5259999999999,328.5299999999999,3.455,3.0,70.0,1.004,3.457,4.461,3.0,2
29,58.0,40.0,20,339.5349999999999,340.54599999999994,3.935,23.0,18.0,1.011,3.937,4.948,23.2,2
30,43.0,60.0,17,351.54999999999995,352.55999999999995,2.696,26.0,31.0,1.01,2.697,3.707,25.8,2
31,4.0,50.0,2,363.565,364.57499999999993,3.618,1.0,47.0,1.01,3.619,4.629,2.0,2
32,0.0,0.0,34,375.593,376.608,5.0,0.0,0.0,1.015,5.01,6.025,0.0,2
33,64.0,50.0,25,387.632,388.639,4.452,31.0,66.0,1.007,4.454,5.460999999999999,32.0,2
34,36.0,60.0,12,399.645,400.655,3.318,18.0,11.0,1.01,3.319,4.329,21.6,2
1,0.0,0.0,32,3.007,4.01,5.0,0.0,0.0,1.003,5.009,6.0120000000000005,0.0,5
2,36.0,70.0,13,15.034,16.041,4.582,26.0,46.0,1.007,4.583,5.59,25.2,5
3,0.0,0.0,33,27.046000000000003,28.057,5.0,0.0,0.0,1.011,5.009,6.0200000000000005,0.0,5
4,11.0,75.0,7,39.085,40.093,3.851,7.0,61.0,1.008,3.852,4.859999999999999,8.25,5
5,61.0,55.0,23,51.11,52.125,2.924,32.0,18.0,1.015,2.925,3.94,33.55,5
6,61.0,45.0,22,63.14,64.157,4.223,30.0,35.0,1.017,4.224,5.241,27.45,5
7,11.0,45.0,6,75.163,76.172,3.065,6.0,16.0,1.009,3.066,4.074999999999999,4.95,5
8,58.0,30.0,19,87.17699999999999,88.18799999999999,3.843,21.0,16.0,1.011,3.845,4.856,17.4,5
9,4.0,75.0,3,99.201,100.205,4.251,2.0,61.0,1.004,4.252,5.256,3.0,5
10,36.0,75.0,14,111.211,112.219,3.692,27.0,75.0,1.008,3.694,4.702,27.0,5
11,79.0,40.0,30,123.225,124.235,3.021,38.0,76.0,1.01,3.022,4.032,31.6,5
12,36.0,60.0,12,135.241,136.25,3.327,24.0,22.0,1.009,3.329,4.338,21.6,5
13,18.0,50.0,10,147.26000000000002,148.26700000000002,3.964,9.0,1.0,1.007,3.964,4.971,9.0,5
14,16.0,20.0,8,159.27,160.28300000000002,4.085,3.0,53.0,1.013,4.086,5.099,3.2,5
15,39.0,60.0,15,171.29600000000002,172.29800000000003,2.92,23.0,52.0,1.002,2.921,3.923,23.4,5
16,58.0,40.0,20,183.314,184.329,3.924,28.0,49.0,1.015,3.926,4.941,23.2,5
17,71.0,55.0,27,195.336,196.347,2.134,39.0,7.0,1.011,2.136,3.147,39.05,5
18,43.0,60.0,17,207.36,208.376,2.056,26.0,67.0,1.016,2.058,3.074,25.8,5
19,76.0,65.0,29,219.385,220.40099999999995,2.921,53.0,68.0,1.016,2.922,3.938,49.4,5
20,4.0,25.0,1,231.41299999999995,232.41699999999997,4.367,1.0,14.0,1.004,4.368,5.372,1.0,5
21,39.0,65.0,16,243.42499999999995,244.44099999999992,2.326,26.0,75.0,1.016,2.327,3.343,25.35,5
22,79.0,65.0,31,255.45299999999992,256.4549999999999,2.126,55.0,0.0,1.002,2.127,3.129,51.35,5
23,64.0,25.0,24,267.46199999999993,268.4719999999999,3.807,17.0,79.0,1.01,3.808,4.818,16.0,5
24,36.0,30.0,11,279.4839999999999,280.4889999999999,3.583,13.0,24.0,1.005,3.585,4.59,10.8,5
25,64.0,50.0,25,291.4979999999999,292.5049999999999,3.284,32.0,64.0,1.007,3.285,4.292,32.0,5
26,4.0,50.0,2,303.5109999999999,304.5189999999999,4.327,2.0,29.0,1.008,4.329,5.337,2.0,5
27,43.0,75.0,18,315.5279999999999,316.5339999999999,2.559,32.0,24.0,1.006,2.56,3.566,32.25,5
28,71.0,45.0,26,327.5449999999999,328.5479999999999,3.291,31.0,18.0,1.003,3.293,4.296,31.95,5
29,71.0,75.0,28,339.55599999999987,340.5669999999999,2.249,59.0,0.0,1.011,2.25,3.261,53.25,5
30,11.0,25.0,5,351.5699999999999,352.5819999999999,4.699,2.0,75.0,1.012,4.699,5.711,2.75,5
31,18.0,25.0,9,363.5859999999999,364.5989999999999,3.323,4.0,37.0,1.013,3.323,4.336,4.5,5
32,58.0,45.0,21,375.60099999999983,376.6139999999998,3.826,27.0,23.0,1.013,3.827,4.84,26.1,5
33,11.0,20.0,4,387.6239999999998,388.62999999999977,1.917,2.0,77.0,1.006,1.918,2.924,2.2,5
34,0.0,0.0,34,399.6429999999998,400.6589999999998,5.0,0.0,0.0,1.016,5.002,6.018,0.0,5
1,36.0,75.0,14,3.006,4.017,3.209,27.0,20.0,1.011,3.211,4.222,27.0,4
2,16.0,20.0,8,15.034,16.049999999999997,3.727,3.0,75.0,1.016,3.735,4.751,3.2,4
3,18.0,50.0,10,27.064,28.072,3.595,9.0,47.0,1.008,3.596,4.604,9.0,4
4,64.0,50.0,25,39.087,40.089,4.53,32.0,77.0,1.002,4.531,5.533,32.0,4
5,4.0,75.0,3,51.105,52.119,2.946,3.0,50.0,1.014,2.947,3.961,3.0,4
6,0.0,0.0,32,63.124,64.135,5.0,0.0,0.0,1.011,5.009,6.0200000000000005,0.0,4
7,4.0,50.0,2,75.15100000000001,76.16600000000001,4.378,1.0,56.0,1.015,4.368,5.383,2.0,4
8,39.0,60.0,15,87.167,88.172,3.824,23.0,74.0,1.005,3.826,4.831,23.4,4
9,58.0,40.0,20,99.183,100.188,3.086,28.0,51.0,1.005,3.088,4.093,23.2,4
10,76.0,65.0,29,111.197,112.2,3.28,43.0,61.0,1.003,3.282,4.285,49.4,4
11,43.0,60.0,17,123.209,124.218,2.627,30.0,59.0,1.009,2.627,3.636,25.8,4
12,61.0,55.0,23,135.22899999999998,136.23299999999998,2.698,33.0,68.0,1.004,2.713,3.717,33.55,4
13,4.0,25.0,1,147.24999999999997,148.26199999999997,,,14.0,1.012,5.005,6.017,1.0,4
14,39.0,65.0,16,159.28299999999996,160.29199999999994,4.186,27.0,32.0,1.009,4.187,5.196,25.35,4
15,11.0,75.0,7,171.29599999999996,172.30699999999996,3.689,8.0,60.0,1.011,3.691,4.702,8.25,4
16,11.0,45.0,6,183.31099999999995,184.325,2.263,4.0,28.0,1.014,2.265,3.279,4.95,4
17,79.0,40.0,30,195.32899999999995,196.33799999999997,3.914,48.0,23.0,1.009,3.917,4.926,31.6,4
18,58.0,30.0,19,207.34199999999996,208.35499999999996,2.211,23.0,76.0,1.013,2.212,3.225,17.4,4
19,71.0,55.0,27,219.36599999999996,220.37199999999996,3.419,39.0,49.0,1.006,3.419,4.425,39.05,4
20,11.0,25.0,5,231.37399999999997,232.38799999999995,4.26,3.0,33.0,1.014,4.261,5.275,2.75,4
21,61.0,45.0,22,243.39299999999997,244.40199999999996,4.326,32.0,18.0,1.009,4.327,5.336,27.45,4
22,11.0,20.0,4,255.41399999999996,256.41599999999994,3.641,3.0,44.0,1.002,3.644,4.646,2.2,4
23,71.0,75.0,28,267.43499999999995,268.43699999999995,4.321,62.0,7.0,1.002,4.322,5.324,53.25,4
24,71.0,45.0,26,279.45399999999995,280.46599999999995,4.22,40.0,48.0,1.012,4.221,5.2330000000000005,31.95,4
25,36.0,30.0,11,291.47099999999995,292.482,3.508,10.0,55.0,1.011,3.51,4.521,10.8,4
26,36.0,70.0,13,303.49999999999994,304.49999999999994,4.338,30.0,27.0,1.0,4.34,5.34,25.2,4
27,58.0,45.0,21,315.5089999999999,316.5099999999999,,,12.0,1.001,4.995,5.996,26.1,4
28,43.0,75.0,18,327.5099999999999,328.5119999999999,3.485,38.0,44.0,1.002,3.487,4.489,32.25,4
29,0.0,0.0,33,339.5249999999999,340.5329999999999,5.0,0.0,0.0,1.008,5.002,6.01,0.0,4
30,0.0,0.0,34,351.5419999999999,352.5479999999999,5.0,0.0,0.0,1.006,5.011,6.017,0.0,4
31,36.0,60.0,12,363.5729999999999,364.5799999999999,4.032,24.0,8.0,1.007,4.033,5.04,21.6,4
32,18.0,25.0,9,375.589,376.596,4.061,7.0,46.0,1.007,4.064,5.071,4.5,4
33,64.0,25.0,24,387.612,388.614,,,79.0,1.002,5.001,6.003,16.0,4
34,79.0,65.0,31,399.622,400.62799999999993,3.426,52.0,48.0,1.006,3.426,4.432,51.35,4
1,79.0,65.0,31,3.003,4.018,4.776,48.0,58.0,1.015,4.777,5.792,51.35,1
2,58.0,30.0,19,15.025,16.037,4.848,22.0,20.0,1.012,4.85,5.862,17.4,1
3,36.0,30.0,11,27.052,28.061,4.475,13.0,4.0,1.009,4.476,5.484999999999999,10.8,1
4,4.0,25.0,1,39.065,40.07,,,77.0,1.005,5.007,6.012,1.0,1
5,64.0,25.0,24,51.084,52.1,4.351,15.0,41.0,1.016,4.353,5.369,16.0,1
6,18.0,25.0,9,63.115,64.118,4.435,2.0,40.0,1.003,4.436,5.439,4.5,1
7,76.0,65.0,29,75.136,76.149,3.447,40.0,7.0,1.013,3.448,4.461,49.4,1
8,79.0,40.0,30,87.166,88.181,,,6.0,1.015,5.015,6.029999999999999,31.6,1
9,0.0,0.0,32,99.211,100.226,5.0,0.0,0.0,1.015,5.015,6.029999999999999,0.0,1
10,11.0,75.0,7,111.245,112.247,,,22.0,1.002,5.003,6.005,8.25,1
11,71.0,45.0,26,123.257,124.263,3.447,33.0,19.0,1.006,3.449,4.455,31.95,1
12,58.0,45.0,21,135.28,136.294,3.795,21.0,2.0,1.014,3.796,4.81,26.1,1
13,36.0,75.0,14,147.303,148.309,3.815,22.0,68.0,1.006,3.816,4.822,27.0,1
14,61.0,45.0,22,159.322,160.329,3.217,32.0,43.0,1.007,3.218,4.225,27.45,1
15,0.0,0.0,33,171.332,172.34199999999998,5.0,0.0,0.0,1.01,5.009,6.019,0.0,1
16,43.0,75.0,18,183.358,184.373,3.396,33.0,51.0,1.015,3.397,4.412,32.25,1
17,43.0,60.0,17,195.388,196.391,3.713,22.0,1.0,1.003,3.713,4.716,25.8,1
18,36.0,70.0,13,207.396,208.408,3.467,25.0,22.0,1.012,3.468,4.48,25.2,1
19,11.0,20.0,4,219.42499999999995,220.43699999999995,3.118,4.0,26.0,1.012,3.119,4.131,2.2,1
20,36.0,60.0,12,231.45,232.45399999999995,4.715,21.0,47.0,1.004,4.716,5.720000000000001,21.6,1
21,64.0,50.0,25,243.464,244.473,3.531,34.0,80.0,1.009,3.532,4.541,32.0,1
22,16.0,20.0,8,255.476,256.484,2.491,6.0,41.0,1.008,2.492,3.5,3.2,1
23,18.0,50.0,10,267.502,268.504,3.389,10.0,2.0,1.002,3.39,4.392,9.0,1
24,11.0,25.0,5,279.514,280.516,4.073,2.0,44.0,1.002,4.074,5.076,2.75,1
25,11.0,45.0,6,291.52900000000005,292.53200000000004,2.059,7.0,9.0,1.003,2.06,3.063,4.95,1
26,61.0,55.0,23,303.53800000000007,304.5470000000001,4.5,28.0,45.0,1.009,4.502,5.510999999999999,33.55,1
27,58.0,40.0,20,315.5590000000001,316.56200000000007,2.695,22.0,64.0,1.003,2.697,3.7,23.2,1
28,4.0,75.0,3,327.57900000000006,328.59400000000005,3.761,1.0,4.0,1.015,3.762,4.777,3.0,1
29,71.0,75.0,28,339.6050000000001,340.61000000000007,,,42.0,1.005,5.006,6.011,53.25,1
30,71.0,55.0,27,351.6320000000001,352.6440000000001,4.274,42.0,50.0,1.012,4.275,5.287000000000001,39.05,1
31,39.0,60.0,15,363.6520000000001,364.6530000000001,4.112,27.0,17.0,1.001,4.113,5.114000000000001,23.4,1
32,4.0,50.0,2,375.6570000000001,376.6590000000001,1.863,1.0,34.0,1.002,1.865,2.867,2.0,1
33,0.0,0.0,34,387.67200000000014,388.6820000000001,5.0,0.0,0.0,1.01,5.007,6.017,0.0,1
34,39.0,65.0,16,399.6970000000001,400.70800000000014,3.7,23.0,24.0,1.011,3.7,4.711,25.35,1
1,71.0,75.0,28,3.015,4.02,4.515,64.0,20.0,1.005,4.516,5.521,53.25,3
2,11.0,75.0,7,15.025,16.034,4.333,8.0,14.0,1.009,4.334,5.343,8.25,3
3,36.0,75.0,14,27.049,28.051,3.899,25.0,80.0,1.002,3.9,4.902,27.0,3
4,0.0,0.0,32,39.065,40.082,5.0,0.0,0.0,1.017,5.009,6.026,0.0,3
5,11.0,25.0,5,51.106,52.115,4.585,7.0,46.0,1.009,4.585,5.593999999999999,2.75,3
