TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,choice,rt,time,random_jitter,end_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,71,75,8B,28,1.0,0.0,2.0171075,3.0449567,60.0,2.680381,5.7007947,-0.45518395,5.700794696807861,2.0171075,1,2.6803810596466064,5.725338,3.7082304821777345,53.25,5
2,58,40,10C-13A-19C-21B,20,1.0,1.0,13.601585,14.612657,33.0,3.820838,18.434244,0.24859758,18.43424415588379,13.601585,1,3.82083797454834,18.433495,4.831909567871094,23.2,5
3,11,75,6B-18B-22C-24C-29A,7,1.0,2.0,25.891788,26.904291,8.0,3.5246632,30.417622,0.2030062,30.417621612548828,25.891788,1,3.524663209915161,30.428955,4.537167078125002,8.25,5
4,11,25,12A-27B-28B-30B,5,1.0,3.0,38.120186,39.13311,4.0,4.0955906,43.217564,0.42751062,43.21756362915039,38.120186,1,4.095590591430664,43.2287,5.108512730468753,2.75,5
5,39,65,1A-15A-26C,16,1.0,4.0,50.581554,51.60687,24.0,3.9937265,55.600834,-0.42778713,55.600833892822266,50.581554,1,3.9937264919281006,55.600594,5.019039566894534,25.35,5
6,36,60,1C-7C-15C,12,1.0,5.0,62.21469,63.239517,26.0,3.7610118,67.00104,-0.42934957,67.00103759765625,62.21469,1,3.761011838912964,67.00053,4.785836428222659,21.6,5
7,4,25,6C-29B-30C,1,1.0,6.0,73.845345,74.87057,1.0,1.5082622,76.3676,0.24710168,76.36759948730469,73.845345,1,1.5082621574401855,76.37883,2.533484956054693,1.0,5
8,36,30,3C-20A-22A,11,1.0,7.0,86.13641,87.15727,12.0,4.7045956,91.85099,0.2476132,91.85099029541016,86.13641,1,4.704595565795898,91.86187,5.725459812011721,10.8,5
9,61,55,7B-26B,23,1.0,8.0,98.41946,99.44248,41.0,4.4030967,103.83463,0.04719513,103.83463287353516,98.41946,1,4.403096675872803,103.84558,5.426121054687499,33.55,5
10,0,0,0.0,0,1.0,9.0,110.505775,,,,--,0.16863424,,110.505775,1,5.0,,6.0,0.0,5
11,71,55,5B-18A,27,1.0,10.0,122.68612,123.71222,55.0,3.3070629,127.01774,-0.49740568,127.01773834228516,122.68612,1,3.307062864303589,127.01928,4.333159479980466,39.05,5
12,36,75,4B-5A-13B-16B,14,1.0,11.0,134.24348,135.26968,29.0,3.0639043,138.33437,-0.053052533,138.33436584472656,134.24348,1,3.063904285430908,138.33359,4.09010764648437,27.0,5
13,16,20,14C-17A-20C-27A,8,1.0,12.0,146.24812,147.2733,5.0,4.189063,151.45119,0.119016424,151.45118713378906,146.24812,1,4.18906307220459,151.46236,5.214236567382812,3.2,5
14,79,65,8A,31,1.0,13.0,158.415,159.44052,80.0,3.3102071,162.75111,-0.32762644,162.75111389160156,158.415,1,3.3102071285247803,162.75073,4.335732421875008,51.35,5
15,4,50,4C-17B,2,1.0,14.0,170.13739,171.16043,3.0,5.0017323,176.15111,-0.40983284,176.15110778808594,170.13739,1,5.001732349395752,176.16217,6.024780410156239,2.0,5
16,64,50,1B-3B-4A,25,1.0,15.0,181.77567,182.78748,32.0,,,0.4770352,,181.77567,1,5.0,,6.0,32.0,5
17,0,0,0.0,0,1.0,16.0,194.28358,,,,--,0.27590948,,194.28358,1,5.0,,6.0,0.0,5
18,18,25,14A-23A,9,1.0,17.0,206.59332,207.61913,4.0,2.7612462,210.3677588000137,-0.44859022,210.3677520751953,206.59332,1,2.7612462043762207,210.38037,3.7870510937499944,4.5,5
19,39,60,9C-25B,15,1.0,18.0,218.19339,219.21912,33.0,2.7100449,221.918038600008,-0.31025964,221.9180450439453,218.19339,1,2.7100448608398438,221.92917,3.7357787011718813,23.4,5
20,76,65,8C-19A-24B,29,1.0,19.0,229.92415,230.94951,65.0,2.912906,233.85119020000275,-0.44846162,233.8511962890625,229.92415,1,2.9129059314727783,233.86241,3.93826149902344,49.4,5
21,43,60,2A-7A-9A-15B,17,1.0,20.0,241.52788,242.55086,36.0,3.3512115,245.90099490000284,0.26971605,245.9010009765625,241.52788,1,3.3512115478515625,245.90207,4.374189091796865,25.8,5
22,79,40,9B,30,1.0,21.0,253.8562,254.86824,50.0,4.743859,259.6012679000123,-0.15669158,259.60125732421875,253.8562,1,4.743858814239502,259.6121,5.755891064453124,31.6,5
23,58,30,13C-30A,19,1.0,22.0,265.73236,266.7445,23.0,4.3725286,271.11756840000453,0.029207312,271.1175537109375,265.73236,1,4.372528553009033,271.11703,5.384674912109347,17.4,5
