TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,end_time,random_jitter,slider_time,choice,rt,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,0,0,0.0,0,1.0,0.0,2.0059907,8.009993553161621,-0.18971395,,,,2.0059907,1,5.0,,6.0,0.0,2
2,58,40,10C-13A-19C-21B,20,1.0,1.0,13.833542,19.855709075927734,-0.1549326,14.876065,29.0,,13.833542,1,5.0,,6.0,23.2,2
3,36,70,3A-5C-10B,13,1.0,2.0,25.733376,31.75575828552246,-0.23148184,26.754156,39.0,,25.733376,1,5.0,,6.0,25.2,2
4,11,75,6B-18B-22C-24C-29A,7,1.0,3.0,37.555626,43.5723876953125,-0.14702922,38.580593,27.0,,37.555626,1,5.0,,6.0,8.25,2
5,64,50,1B-3B-4A,25,1.0,4.0,49.450294,55.47248458862305,0.3622654,50.47578,50.0,,49.450294,1,5.0,,6.0,32.0,2
6,58,30,13C-30A,19,1.0,5.0,61.87208,67.88908386230469,-0.22283794,62.896584,27.0,,61.87208,1,5.0,,6.0,17.4,2
7,0,0,0.0,0,1.0,6.0,73.692764,79.69955444335938,0.34164423,,,,73.692764,1,5.0,,6.0,0.0,2
8,4,25,6C-29B-30C,1,1.0,7.0,86.05569,92.07245635986328,-0.27585742,87.07923,2.0,,86.05569,1,5.0,,6.0,1.0,2
9,11,25,12A-27B-28B-30B,5,1.0,8.0,97.827995,103.839111328125,-0.40349203,98.84019,4.0,,97.827995,1,5.0,,6.0,2.75,2
10,64,25,6A-21A,24,1.0,9.0,109.45948,115.4725112915039,0.06841341,110.470726,20.0,,109.45948,1,5.0,,6.0,16.0,2
11,71,55,5B-18A,27,1.0,10.0,121.56552,127.58909606933594,0.12286166,122.58839,60.0,,121.56552,1,5.0,,6.0,39.05,2
12,11,20,12C-17C-23C-28C,4,1.0,11.0,133.73561,139.73924255371094,-0.29017714,134.74817,2.0,,133.73561,1,5.0,,6.0,2.2,2
13,58,45,11C-18C-25A,21,1.0,12.0,145.4787,151.5058135986328,0.29761258,146.50235,31.0,,145.4787,1,5.0,,6.0,26.1,2
14,36,75,4B-5A-13B-16B,14,1.0,13.0,157.84183,163.85580444335938,0.4178432,158.8637,40.0,,157.84183,1,5.0,,6.0,27.0,2
15,43,60,2A-7A-9A-15B,17,1.0,14.0,170.3026,176.30560302734375,-0.0748435,171.31555,32.0,,170.3026,1,5.0,,6.0,25.8,2
