TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,36,70,3A-5C-10B,13,1.0,0.0,2.0163643,3.054478645324707,6.568103790283203,3.537026882171631,28.0,62.0,7.5870824,2.0163643,1,3.537026882171631,6.591505527496338,4.575141227496338,25.2,3
2,39,65,1A-15A-26C,16,1.0,1.0,14.194866,15.207047462463379,18.984703063964844,3.788649797439575,23.0,70.0,7.628448,14.194866,1,3.788649797439575,18.995697259902954,4.800831259902955,25.35,3
3,0,0,0.0,0,1.0,2.0,26.647848,,32.658958435058594,,,,5.7156253,26.647848,1,5.0,,6.0,0.0,3
4,71,45,2B-16A,26,1.0,3.0,38.387775,39.41312789916992,42.40157699584961,3.0003273487091064,22.0,8.0,7.93308,38.387775,1,3.0003273487091064,42.41345524787903,4.025680247879031,31.95,3
5,39,60,9C-25B,15,1.0,4.0,50.35878,51.38187789916992,54.35169982910156,2.9806623458862305,26.0,21.0,8.364798,50.35878,1,2.9806623458862305,54.36254024505615,4.003760245056149,23.4,3
6,71,75,8B,28,1.0,5.0,62.741486,63.755367279052734,65.91836547851562,2.1738386154174805,56.0,46.0,8.545843,62.741486,1,2.1738386154174805,65.92920589447021,3.187719894470213,53.25,3
7,16,20,14C-17A-20C-27A,8,1.0,6.0,74.49385,75.51949310302734,78.0016860961914,2.4930551052093506,0.0,1.0,8.337127,74.49385,1,2.4930551052093506,78.0125482082367,3.5186982082366995,3.2,3
8,36,75,4B-5A-13B-16B,14,1.0,7.0,86.37238,87.39704895019531,90.5515365600586,3.1655821800231934,21.0,20.0,8.000295,86.37238,1,3.1655821800231934,90.5626311302185,4.190251130218499,27.0,3
9,36,30,3C-20A-22A,11,1.0,8.0,98.577614,99.60115814208984,102.26805114746094,2.6774675846099854,3.0,22.0,8.167379,98.577614,1,2.6774675846099854,102.27862572669983,3.701011726699832,10.8,3
10,36,60,1C-7C-15C,12,1.0,9.0,110.4604,111.4775161743164,115.1688003540039,3.702038288116455,28.0,60.0,7.401044,110.4604,1,3.702038288116455,115.17955446243286,4.719154462432854,21.6,3
11,43,60,2A-7A-9A-15B,17,1.0,10.0,122.60544,123.62675476074219,128.21829223632812,4.602453231811523,30.0,67.0,6.0787525,122.60544,1,4.602453231811523,128.2292079925537,5.623767992553709,25.8,3
12,64,50,1B-3B-4A,25,1.0,11.0,134.32004,135.3445587158203,138.33493041992188,3.00103497505188,40.0,51.0,7.7569685,134.32004,1,3.00103497505188,138.3455936908722,4.0255536908721865,32.0,3
13,4,75,12B-20B-23B-27C-29C,3,1.0,12.0,146.1268,147.15171813964844,151.5349884033203,4.394009590148926,0.0,52.0,6.2423825,146.1268,1,4.394009590148926,151.54572772979736,5.41892772979736,3.0,3
14,11,20,12C-17C-23C-28C,4,1.0,13.0,157.80348,158.82691955566406,160.4848175048828,1.6577225923538208,0.0,25.0,9.217194,157.80348,1,1.6577225923538208,160.48464214801788,2.681162148017876,2.2,3
15,0,0,0.0,0,1.0,14.0,169.73465,,175.73509216308594,,,,6.0267296,169.73465,1,5.0,,6.0,0.0,3
16,58,45,11C-18C-25A,21,1.0,15.0,181.7878,182.81277465820312,186.4348907470703,3.634756088256836,26.0,39.0,7.3396254,181.7878,1,3.634756088256836,186.44753074645996,4.659730746459957,26.1,3
17,0,0,0.0,0,1.0,16.0,193.80812,,199.82211303710938,,,,5.7972355,193.80812,1,5.0,,6.0,0.0,3
18,58,40,10C-13A-19C-21B,20,1.0,17.0,205.63567,206.6492462158203,208.93455505371094,2.2867918014526367,23.0,40.0,8.897323,205.63567,1,2.2867918014526367,208.93603801727295,3.3003680172729446,23.2,3
19,79,65,8A,31,1.0,18.0,217.86269,218.88516235351562,222.33538818359375,3.46132230758667,51.0,54.0,7.8448734,217.86269,1,3.46132230758667,222.3464846611023,4.4837946611023085,51.35,3
20,61,45,10A-11A,22,1.0,19.0,230.21115,231.23385620117188,235.10153198242188,3.878734588623047,28.0,20.0,6.7261844,230.21115,1,3.878734588623047,235.11259078979492,4.901440789794918,27.45,3
21,43,75,11B-19B-24A-26A,18,1.0,20.0,241.85411,242.87718200683594,246.6012420654297,3.723658800125122,30.0,43.0,6.817955,241.85411,1,3.723658800125122,246.60084080696106,4.746730806961068,32.25,3
22,11,45,14B-21C-25C,6,1.0,21.0,253.44589,254.46934509277344,258.1850280761719,3.726701259613037,1.0,71.0,7.187003,253.44589,1,3.726701259613037,258.1960463523865,4.750156352386483,4.95,3
23,61,55,7B-26B,23,1.0,22.0,265.4006,266.4231262207031,270.501708984375,4.089756965637207,37.0,65.0,6.8325124,265.4006,1,4.089756965637207,270.51288318634033,5.112283186340335,33.55,3
24,4,50,4C-17B,2,1.0,23.0,277.36868,278.39422607421875,281.4848937988281,3.1012818813323975,1.0,27.0,7.8292522,277.36868,1,3.1012818813323975,281.49550795555115,4.126827955551164,2.0,3
25,71,55,5B-18A,27,1.0,24.0,289.33728,290.3617248535156,294.8681945800781,4.505797863006592,30.0,13.0,6.298,289.33728,1,4.505797863006592,294.8675227165222,5.530242716522196,39.05,3
26,58,30,13C-30A,19,1.0,25.0,301.2014,302.2255554199219,306.30157470703125,4.086869716644287,15.0,57.0,7.040109,301.2014,1,4.086869716644287,306.31242513656616,5.111025136566184,17.4,3
27,76,65,8C-19A-24B,29,1.0,26.0,313.3696,314.39306640625,318.50164794921875,4.107878684997559,45.0,43.0,6.802433,313.3696,1,4.107878684997559,318.50094509124756,5.131345091247567,49.4,3
28,18,50,2C-16C-22B-28A,10,1.0,27.0,325.3313,326.3428039550781,329.9348449707031,3.602994203567505,5.0,75.0,7.6702356,325.3313,1,3.602994203567505,329.94579815864563,4.614498158645631,9.0,3
29,11,25,12A-27B-28B-30B,5,1.0,28.0,337.63382,338.64508056640625,340.6845703125,2.038762331008911,0.0,57.0,8.551023,337.63382,1,2.038762331008911,340.68384289741516,3.050022897415147,2.75,3
30,18,25,14A-23A,9,1.0,29.0,349.27145,350.29766845703125,353.45147705078125,3.1645491123199463,0.0,58.0,7.774944,349.27145,1,3.1645491123199463,353.4622175693512,4.1907675693511806,4.5,3
31,4,25,6C-29B-30C,1,1.0,30.0,361.25446,362.2663269042969,364.018310546875,1.762622594833374,0.0,35.0,8.744051,361.25446,1,1.762622594833374,364.02894949913025,2.7744894991302544,1.0,3
32,79,40,9B,30,1.0,31.0,372.7949,373.8213195800781,378.3014831542969,4.4918365478515625,24.0,12.0,6.4338846,372.7949,1,4.4918365478515625,378.3131561279297,5.518256127929703,31.6,3
33,64,25,6A-21A,24,1.0,32.0,384.7671,385.78924560546875,389.70135498046875,3.9230542182922363,6.0,72.0,7.3282833,384.7671,1,3.9230542182922363,389.712299823761,4.945199823760959,16.0,3
34,11,75,6B-18B-22C-24C-29A,7,1.0,33.0,397.0536,398.06439208984375,403.0682373046875,,4.0,47.0,5.781093,397.0536,1,5.0,,6.0,8.25,3
1,71,55,5B-18A,27,1.0,0.0,2.014643,3.0499138832092285,6.13156270980835,3.09360408782959,43.0,69.0,7.9335117,2.014643,1,3.09360408782959,6.143517971038818,4.128874971038819,39.05,4
2,58,30,13C-30A,19,1.0,1.0,14.088203,15.100215911865234,18.53196907043457,3.4429383277893066,10.0,67.0,7.736524,14.088203,1,3.4429383277893066,18.54315423965454,4.454951239654541,17.4,4
3,11,25,12A-27B-28B-30B,5,1.0,2.0,26.297771,27.30837059020996,28.615238189697266,1.317474603652954,0.0,6.0,9.689857,26.297771,1,1.317474603652954,28.625845193862915,2.328074193862914,2.75,4
4,11,45,14B-21C-25C,6,1.0,3.0,38.334057,39.349639892578125,43.19850540161133,3.8600053787231445,1.0,62.0,6.6844907,38.334057,1,3.8600053787231445,43.20964527130127,4.875588271301268,4.95,4
5,36,75,4B-5A-13B-16B,14,1.0,4.0,49.907677,50.91852569580078,55.46514129638672,4.557699680328369,22.0,64.0,6.77413,49.907677,1,4.557699680328369,55.47622537612915,5.568548376129151,27.0,4
6,39,65,1A-15A-26C,16,1.0,5.0,62.26808,63.27983856201172,65.99855041503906,2.7295498847961426,26.0,42.0,8.703314,62.26808,1,2.7295498847961426,66.00938844680786,3.7413084468078637,25.35,4
7,0,0,0.0,0,1.0,6.0,74.72872,,80.74288177490234,,,,5.5970116,74.72872,1,5.0,,6.0,0.0,4
8,36,30,3C-20A-22A,11,1.0,7.0,86.35728,87.3851089477539,90.64857482910156,3.2758703231811523,4.0,35.0,8.132357,86.35728,1,3.2758703231811523,90.66097927093506,4.303699270935056,10.8,4
9,18,50,2C-16C-22B-28A,10,1.0,8.0,98.812706,99.83707427978516,103.81517791748047,3.9771568775177,5.0,77.0,7.1911035,98.812706,1,3.9771568775177,103.81423115730286,5.001525157302851,9.0,4
10,64,50,1B-3B-4A,25,1.0,9.0,111.039696,112.06625366210938,114.98178100585938,2.9151477813720703,38.0,59.0,8.36552,111.039696,1,2.9151477813720703,114.98140144348145,3.941705443481439,32.0,4
11,43,60,2A-7A-9A-15B,17,1.0,10.0,123.377335,124.39039611816406,127.54843139648438,3.168790102005005,29.0,57.0,7.882327,123.377335,1,3.168790102005005,127.55918622016907,4.181851220169065,25.8,4
12,4,25,6C-29B-30C,1,1.0,11.0,135.45569,136.47894287109375,138.0984344482422,1.630487084388733,0.0,35.0,9.690285,135.45569,1,1.630487084388733,138.10942995548248,2.6537399554824788,1.0,4
13,58,40,10C-13A-19C-21B,20,1.0,12.0,147.81198,148.8372039794922,150.8319549560547,2.0055994987487793,18.0,44.0,8.78061,147.81198,1,2.0055994987487793,150.84280347824097,3.0308234782409613,23.2,4
14,0,0,0.0,0,1.0,13.0,159.63739,,165.63922119140625,,,,6.0733194,159.63739,1,5.0,,6.0,0.0,4
