"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","actual_choice","actual_EV","binary_id","trinary_id","catch","A_key","D_key","choice_prob","choice_amount","chosen_part"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","a535500d-2b51-4e38-814e-915756f678ee","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","728","0.0-1.0","a535500d-2b51-4e38-814e-915756f678ee","null","","null","delay","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8012","0.0-2.0","a535500d-2b51-4e38-814e-915756f678ee","7282","
          <h1>חלק 2</h1>
          <p>בחלק זה יוצגו בפניכם שתי הגרלות.
          <br>אתם מתבקשים לבחור את ההגרלה שתרצו להשתתף בה.
          <br>שימו לב! בסוף הניסוי נבחר שלב אחד באקראי ונממש את ההגרלה שבחרתם. כלומר, הבחירה שלכם יכולה להפוך לכסף אמיתי.
          <br><br>לחצו רווח כדי להמשיך.</p>"," ","instructions","","","","","","","","","",""
"","","","","","html-keyboard-response","3","14856","0.0-3.0","a535500d-2b51-4e38-814e-915756f678ee","6142","
          <p>בואו נתחיל בדוגמה:
          <br>לפניכם שתי הגרלות.
          <br>לחצו 'A' אם אתם מעדיפים את ההגרלה השמאלית
          <br>לחצו 'D' אם אתם מעדיפים את ההגרלה הימנית
          <p class=""lotteries"">
            <span><img src='img/A.png', width=""30""></span>
            <span><img src='img/D.png', width=""30""></span>
          </p>
          <p class=""lotteries"">
            <span>₪39</span>
            <span>₪54</span>
          </p>
          <p class=""lotteries"">
            <span>65%</span>
            <span>35%</span>
          </p>","a","example","","","","","","","","","",""
"","","","","","html-keyboard-response","4","20656","0.0-4.0","a535500d-2b51-4e38-814e-915756f678ee","5091","<p>יפה מאוד!
                  <br>בחרתם את ההגרלה השמאלית. נשמע נכון?
                  <br>בואו ננסה דוגמה נוספת:</p>
                  <p class=""lotteries"">
                    <span><img src='img/A.png', width=""30""></span>
                    <span><img src='img/D.png', width=""30""></span>
                  </p>
                  <p class=""lotteries"">
                    <span>₪29</span>
                    <span>₪43</span>
                  </p>
                  <p class=""lotteries"">
                    <span>30%</span>
                    <span>65%</span>
                  </p>","d","example","","","","","","","","","",""
"","","","","","html-keyboard-response","5","24792","0.0-5.0","a535500d-2b51-4e38-814e-915756f678ee","3430","<p>יפה. כעת בחרתם את ההגרלה הימנית. 
                  <br>מיד נתחיל בניסוי.
                  <br>אתם תראו זוגות של הגרלות ותתבקשו לבחור את ההגרלה המועדפת עליכם.
                  <br><br>לחצו רווח כדי להמשיך.</p>"," ","instructions","","","","","","","","","",""
"","","","","","html-keyboard-response","6","26522","0.0-6.0-0.0","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","7","31448","0.0-6.0-1.0","a535500d-2b51-4e38-814e-915756f678ee","4921","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪58</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>40%</span>
                      <span>75%</span>
                    </p>","d","binary","B","27","13","13","0","A","B","75","36",""
"","","","","","html-keyboard-response","8","32879","0.0-6.0-0.1","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","9","34808","0.0-6.0-1.1","a535500d-2b51-4e38-814e-915756f678ee","1927","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪58</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>30%</span>
                    </p>","d","binary","A","17.4","30","30","1","B","A","30","58",""
