TrialNumber,amount,prob,lottery_id,view_time,slider_time,rt,choice,mouse_start,view_ev_duration,eval_ev_duration,ev_duration,EV,run
1,18.0,25.0,9,3.005,4.008,2.3,5.0,22.0,1.003,2.301,3.3040000000000003,4.5,1
2,61.0,45.0,22,15.016000000000002,16.023000000000003,3.865,36.0,58.0,1.007,3.866,4.873,27.45,1
3,11.0,25.0,5,27.031,28.039,4.096,8.0,24.0,1.008,4.097,5.105,2.75,1
4,58.0,30.0,19,39.054,40.056,3.901,17.0,32.0,1.002,3.902,4.904,17.4,1
5,36.0,75.0,14,51.06,52.069,4.496,22.0,20.0,1.009,4.496,5.505000000000001,27.0,1
6,11.0,45.0,6,63.086000000000006,64.093,2.906,4.0,68.0,1.007,2.907,3.914,4.95,1
7,39.0,65.0,16,75.108,76.125,3.977,21.0,33.0,1.017,3.978,4.995,25.35,1
8,43.0,75.0,18,87.142,88.158,4.739,31.0,38.0,1.016,4.74,5.756,32.25,1
9,79.0,40.0,30,99.163,100.172,,,50.0,1.009,5.013,6.022,31.6,1
10,71.0,75.0,28,111.198,112.202,4.442,57.0,49.0,1.004,4.443,5.446999999999999,53.25,1
11,79.0,65.0,31,123.21200000000002,124.22200000000002,3.793,49.0,71.0,1.01,3.794,4.804,51.35,1
12,64.0,50.0,25,135.23000000000002,136.23700000000002,,,15.0,1.007,5.012,6.018999999999999,32.0,1
13,0.0,0.0,32,147.26200000000003,148.26900000000003,5.0,0.0,0.0,1.007,5.001,6.008,0.0,1
14,0.0,0.0,33,159.27400000000003,160.28500000000005,5.0,0.0,0.0,1.011,5.008,6.019,0.0,1
15,71.0,55.0,27,171.30800000000002,172.31600000000003,,,69.0,1.008,5.001,6.009,39.05,1
16,36.0,70.0,13,183.32500000000005,184.32700000000008,1.588,34.0,68.0,1.002,1.589,2.591,25.2,1
17,39.0,60.0,15,195.3290000000001,196.33100000000007,1.925,30.0,52.0,1.002,1.926,2.928,23.4,1
18,16.0,20.0,8,207.34500000000008,208.3470000000001,2.329,6.0,53.0,1.002,2.329,3.3310000000000004,3.2,1
19,36.0,30.0,11,219.3530000000001,220.36100000000008,2.347,9.0,22.0,1.008,2.348,3.356,10.8,1
20,11.0,20.0,4,231.36800000000008,232.37700000000007,2.091,6.0,78.0,1.009,2.092,3.101,2.2,1
21,58.0,45.0,21,243.39000000000007,244.39200000000008,2.888,30.0,60.0,1.002,2.888,3.89,26.1,1
22,36.0,60.0,12,255.4070000000001,256.4170000000001,2.89,16.0,21.0,1.01,2.891,3.901,21.6,1
23,4.0,75.0,3,267.4230000000001,268.4260000000001,3.411,1.0,3.0,1.003,3.411,4.414,3.0,1
24,71.0,45.0,26,279.4400000000001,280.45600000000013,2.549,34.0,72.0,1.016,2.55,3.566,31.95,1
25,61.0,55.0,23,291.46400000000017,292.4720000000001,2.575,22.0,6.0,1.008,2.576,3.584,33.55,1
26,11.0,75.0,7,303.47900000000016,304.49100000000016,3.306,8.0,40.0,1.012,3.307,4.319,8.25,1
27,58.0,40.0,20,315.5040000000002,316.51200000000017,2.884,24.0,4.0,1.008,2.885,3.893,23.2,1
28,18.0,50.0,10,327.51300000000015,328.5190000000001,2.256,9.0,40.0,1.006,2.257,3.263,9.0,1
29,0.0,0.0,34,339.5240000000001,340.5260000000001,5.0,0.0,0.0,1.002,5.009,6.011,0.0,1
30,64.0,25.0,24,351.54200000000014,352.5500000000001,2.112,11.0,76.0,1.008,2.114,3.122,16.0,1
31,4.0,25.0,1,363.5650000000001,364.5680000000001,2.58,2.0,78.0,1.003,2.581,3.584,1.0,1
32,43.0,60.0,17,375.57100000000014,376.58300000000014,4.214,32.0,68.0,1.012,4.216,5.228,25.8,1
33,76.0,65.0,29,387.58700000000016,388.58900000000017,2.068,39.0,15.0,1.002,2.069,3.071,49.4,1
34,4.0,50.0,2,399.6030000000002,400.6150000000002,4.173,1.0,5.0,1.012,4.175,5.186999999999999,2.0,1
1,11.0,45.0,6,3.001,4.01,3.812,8.0,71.0,1.009,3.812,4.821,4.95,2
2,71.0,45.0,26,15.02,16.024,2.878,35.0,27.0,1.004,2.879,3.883,31.95,2
3,79.0,65.0,31,27.046000000000003,28.054,3.011,51.0,58.0,1.008,3.012,4.02,51.35,2
4,43.0,60.0,17,39.06,40.069,3.847,22.0,30.0,1.009,3.847,4.856,25.8,2
5,0.0,0.0,32,51.07900000000001,52.08200000000001,5.0,0.0,0.0,1.003,5.004,6.007,0.0,2
6,18.0,50.0,10,63.095000000000006,64.10000000000001,3.21,8.0,31.0,1.005,3.212,4.2170000000000005,9.0,2
7,58.0,45.0,21,75.11800000000001,76.13100000000001,2.804,18.0,75.0,1.013,2.804,3.817,26.1,2
8,36.0,60.0,12,87.12200000000001,88.13500000000002,3.884,18.0,26.0,1.013,3.885,4.898,21.6,2
9,64.0,50.0,25,99.13800000000002,100.15300000000002,2.369,31.0,19.0,1.015,2.369,3.3840000000000003,32.0,2
10,4.0,25.0,1,111.15500000000002,112.166,,,2.0,1.011,5.004,6.015,1.0,2
11,0.0,0.0,33,123.181,124.183,5.0,0.0,0.0,1.002,5.015,6.017,0.0,2
12,16.0,20.0,8,135.207,136.214,2.668,2.0,17.0,1.007,2.669,3.676,3.2,2
13,76.0,65.0,29,147.244,148.246,3.096,36.0,34.0,1.002,3.097,4.099,49.4,2
14,71.0,55.0,27,159.25500000000002,160.264,3.213,34.0,16.0,1.009,3.214,4.223,39.05,2
15,4.0,75.0,3,171.28,172.291,3.786,2.0,33.0,1.011,3.787,4.798,3.0,2
