TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,76,65,8C-19A-24B,29,1.0,0.0,2.0181105,3.043164014816284,5.8010172843933105,2.7822747230529785,54.0,5.0,8.35478,2.0181105,1,2.7822747230529785,5.825438737869263,3.8073282378692626,49.4,4
2,64,25,6A-21A,24,1.0,1.0,14.183631,15.20896053314209,17.0678653717041,1.8700579404830933,20.0,58.0,9.236551,14.183631,1,1.8700579404830933,17.079018473625183,2.895387473625183,16.0,4
3,36,75,4B-5A-13B-16B,14,1.0,2.0,26.342764,27.36427116394043,30.384418487548828,3.01952862739563,29.0,65.0,8.255353,26.342764,1,3.01952862739563,30.38379979133606,4.041035791336061,27.0,4
4,64,50,1B-3B-4A,25,1.0,3.0,38.673824,39.69541931152344,42.96845245361328,3.283796787261963,29.0,44.0,7.5740266,38.673824,1,3.283796787261963,42.9792160987854,4.305392098785397,32.0,4
5,16,20,14C-17A-20C-27A,8,1.0,4.0,50.578297,51.60353469848633,55.117862701416016,3.5142178535461426,3.0,73.0,7.2781367,50.578297,1,3.5142178535461426,55.11775255203247,4.5394555520324715,3.2,4
6,79,40,9B,30,1.0,5.0,62.431183,63.449684143066406,66.68505096435547,3.2461910247802734,36.0,55.0,7.738882,62.431183,1,3.2461910247802734,66.69587516784668,4.2646921678466825,31.6,4
7,36,70,3A-5C-10B,13,1.0,6.0,74.45962,75.4789047241211,79.25102233886719,3.7717161178588867,35.0,32.0,7.525764,74.45962,1,3.7717161178588867,79.25062084197998,4.791000841979979,25.2,4
8,58,40,10C-13A-19C-21B,20,1.0,7.0,86.802986,87.82311248779297,89.86799621582031,2.0561580657958984,29.0,49.0,8.552501,86.802986,1,2.0561580657958984,89.87927055358887,3.076284553588863,23.2,4
9,4,25,6C-29B-30C,1,1.0,8.0,98.45186,99.47443389892578,103.23457336425781,3.7598636150360107,2.0,30.0,7.4199805,98.45186,1,3.7598636150360107,103.23429751396179,4.782437513961796,1.0,4
10,71,45,2B-16A,26,1.0,9.0,110.68625,111.70780944824219,114.56781005859375,2.871030569076538,24.0,14.0,8.0390835,110.68625,1,2.871030569076538,114.57884001731873,3.8925900173187244,31.95,4
11,0,0,0.0,0,1.0,10.0,122.63585,,128.6405029296875,,,,6.2311726,122.63585,1,5.0,,6.0,0.0,4
