run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0341752,0.0296896,0.0747396,0.082911,0.0478833
0.0632293,0.0569558,0.0871418,0.0906129,0.0493874
0.0751147,0.0572483,0.0275693,0.0481788,0.0763006
0.131493,0.038848,0.0413649,0.137486,0.0718534
0.0477607,0.0579743,0.0826499,0.0329939,0.0594279
0.162229,0.0933699,0.10246,0.0997475,0.0663843
0.547472,0.0657472,0.037824,0.0619984,0.0837845
1.39082,0.0454442,0.0905539,0.107877,0.0359725
0.556985,0.0327138,0.0242823,0.00945958,0.0625784
0.189413,0.0166597,0.0627775,0.1002,0.113326
0.264679,0.103412,0.0234181,0.0636234,0.0946919
0.211549,0.0420436,0.0522946,0.0660748,0.109931
0.149385,0.0991677,0.0500556,0.0785268,0.0284633
0.278359,0.0631081,0.0524808,0.0561676,0.0328584
0.125807,0.0484764,0.0194562,0.0463552,0.0718082
0.0607719,0.0173273,0.0680721,0.06153,0.0495695
0.101355,0.0630974,0.0368737,0.0935018,0.0492774
0.110748,0.068951,0.0449904,0.0559637,0.0522684
0.127467,0.0631655,0.0479834,0.0493424,0.0759067
0.0553084,0.0708631,0.0606967,0.0594064,0.0711614
0.41718,0.11827,0.0179556,0.0921471,0.0526069
0.194378,0.0747931,0.0832869,0.0638686,0.0638861
0.0602602,0.0488255,0.0212796,0.0509762,0.0497036
0.148835,0.0278584,0.0706106,0.046015,0.0739283
0.100128,0.0589378,0.0247532,0.0719574,0.0555647
0.136306,0.0847545,0.0581521,0.0550218,0.035723
0.164159,0.0429015,0.027426,0.0676835,0.0387339
0.0826766,0.0289062,0.0796375,0.0318286,0.0564473
0.113288,0.0684438,0.0374771,0.0576403,0.039908
0.130398,0.0849775,0.0784073,0.0880312,0.0230608
0.12306,0.0447464,0.0298239,0.0536225,0.0357815
0.0594756,0.0400524,0.0569543,0.0295575,0.0461516
0.0878454,0.0779391,0.024273,0.0511599,0.0345177
0.0911894,0.102519,0.0872139,0.0513582,0.0329428
0.348631,0.033702,0.0269319,0.0496714,0.038956
0.782015,0.0452044,0.0431857,0.0525116,0.0379079
0.471008,0.104536,0.0798886,0.0435125,0.0435093
0.2101,0.0946951,0.0790143,0.0754834,0.0374437
0.0776911,0.0361353,0.0687436,0.0951073,0.0563898
0.0272937,0.0639315,0.0246154,0.0298815,0.0314578
0.13161,0.0354101,0.0773374,0.0490612,0.0502053
