run1,run2,run3,run4
0.0,0.0,0.0,0.0
0.016154,0.132973,0.0174136,0.0745163
0.149876,0.121392,0.00717809,0.0897546
0.0751966,0.046241,0.0657197,0.0710794
0.0347892,0.0692075,0.120769,0.0430945
0.0415438,0.0868988,0.0558512,0.117918
0.0830476,0.130221,0.108812,0.0990803
0.116273,0.0219695,0.0369085,0.0243488
0.00749146,0.119317,0.0886342,0.107287
0.119559,0.0404363,0.0965267,0.0902237
0.0515583,0.0531611,0.0149014,0.0485589
0.051842,0.0662835,0.156062,0.027768
0.0195602,0.0942716,0.0484789,0.125372
0.115293,0.0968186,0.0956861,0.0966163
0.1246,0.0536113,0.0184462,0.0572654
0.0120005,0.0170902,0.137368,0.0616745
0.0222305,0.0970288,0.0413217,0.429699
0.0921808,0.0689918,0.0969288,0.222771
0.107946,0.0464515,0.0219731,0.0910651
0.0135275,0.0314739,0.108508,0.238424
0.0668003,0.0840796,0.00326943,0.0362242
0.0383148,0.092926,0.103383,0.153205
0.0874527,0.0441803,0.0321456,0.0874696
0.0105782,0.0961856,0.104145,0.0972262
0.0994926,0.0489127,0.0748178,0.12946
0.0899295,0.10963,0.0638142,0.0910175
0.0285704,0.0389863,0.0848182,0.0692593
0.170044,0.164962,0.042931,0.119839
0.166695,0.0487892,0.0789508,0.108295
0.0230757,0.120925,0.0212646,0.135136
0.0143928,0.0649179,0.0328341,0.0549273
0.0594989,0.121198,0.0533106,0.0323131
0.0418832,0.0642652,0.0705015,0.109753
0.0650273,0.0714243,0.0431282,0.0672549
0.00830831,0.0298292,0.0740125,0.146703
0.0401761,0.159028,0.0112424,0.0528932
0.0288251,0.080875,0.0544693,0.105102
0.0506495,0.0667788,0.0234988,0.100705
0.0108209,0.071476,0.0775744,0.17426
0.0592224,0.112244,0.0575788,0.0566306
0.0549857,0.0678495,0.102027,0.098938
0.0250466,0.107451,0.114191,0.0401471
0.039369,0.0367108,0.0341611,0.115233
0.0284511,0.115811,0.0923504,0.0715119
0.0458543,0.0309238,0.0769484,0.053861
0.0110904,0.113266,0.0894529,0.0616645
0.0668445,0.0246743,0.0738763,0.132321
0.0772543,0.0955978,0.0734102,0.0505596
0.0271455,0.0373034,0.0960038,0.0629885
