"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","actual_choice","actual_EV","binary_id","trinary_id","catch","A_key","D_key","choice_prob","choice_amount","chosen_part","accuracy"
"true","false","[]","[]","[]","preload","0","77","0.0-0.0","028","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","789","0.0-1.0","028","null","","null","delay","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","42191","0.0-2.0","028","41400","
          <h1>חלק 2</h1>
          <p>בחלק זה יוצגו בפניכם שתי הגרלות.
          <br>אתם מתבקשים לבחור את ההגרלה שתרצו להשתתף בה.
          <br>שימו לב! בסוף הניסוי נבחר שלב אחד באקראי ונממש את ההגרלה שבחרתם. כלומר, הבחירה שלכם יכולה להפוך לכסף אמיתי.
          <br><br>לחצו רווח כדי להמשיך.</p>"," ","instructions","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","49727","0.0-3.0","028","6818","
          <p>בואו נתחיל בדוגמה:
          <br>לפניכם שתי הגרלות.
          <br>לחצו 'A' אם אתם מעדיפים את ההגרלה השמאלית
          <br>לחצו 'D' אם אתם מעדיפים את ההגרלה הימנית
          <p class=""lotteries"">
            <span><img src='img/A.png', width=""30""></span>
            <span><img src='img/D.png', width=""30""></span>
          </p>
          <p class=""lotteries"">
            <span>₪39</span>
            <span>₪54</span>
          </p>
          <p class=""lotteries"">
            <span>65%</span>
            <span>35%</span>
          </p>","a","example","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","55420","0.0-4.0","028","4973","<p>יפה מאוד!
                  <br>בחרתם את ההגרלה השמאלית. נשמע נכון?
                  <br>בואו ננסה דוגמה נוספת:</p>
                  <p class=""lotteries"">
                    <span><img src='img/A.png', width=""30""></span>
                    <span><img src='img/D.png', width=""30""></span>
                  </p>
                  <p class=""lotteries"">
                    <span>₪29</span>
                    <span>₪43</span>
                  </p>
                  <p class=""lotteries"">
                    <span>30%</span>
                    <span>65%</span>
                  </p>","d","example","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","57180","0.0-5.0","028","1047","<p>יפה. כעת בחרתם את ההגרלה הימנית. 
                  <br>מיד נתחיל בניסוי.
                  <br>אתם תראו זוגות של הגרלות ותתבקשו לבחור את ההגרלה המועדפת עליכם.
                  <br><br>לחצו רווח כדי להמשיך.</p>"," ","instructions","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","59175","0.0-6.0-0.0","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","60476","0.0-6.0-1.0","028","1297","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪61</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>70%</span>
                    </p>","d","binary","B","25.2","10","10","0","A","B","70","36","",""
"","","","","","html-keyboard-response","8","61289","0.0-6.0-0.1","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","62675","0.0-6.0-1.1","028","1385","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪18</span>
                      <span>₪11</span>
                    </p>
                    <p class=""lotteries"">
                      <span>50%</span>
                      <span>25%</span>
                    </p>","a","binary","A","9","28","28","1","A","B","50","18","",""
"","","","","","html-keyboard-response","10","64021","0.0-6.0-0.2","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","65460","0.0-6.0-1.2","028","1438","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪58</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>40%</span>
                      <span>75%</span>
                    </p>","d","binary","B","27","13","13","0","A","B","75","36","",""
"","","","","","html-keyboard-response","12","66336","0.0-6.0-0.3","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","68644","0.0-6.0-1.3","028","2304","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪64</span>
                      <span>₪39</span>
                    </p>
                    <p class=""lotteries"">
                      <span>50%</span>
                      <span>65%</span>
                    </p>","d","binary","A","25.35","1","1","0","B","A","65","39","",""
"","","","","","html-keyboard-response","14","70081","0.0-6.0-0.4","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","71524","0.0-6.0-1.4","028","1442","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪58</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>30%</span>
                    </p>","d","binary","A","17.4","30","30","1","B","A","30","58","",""
"","","","","","html-keyboard-response","16","72433","0.0-6.0-0.5","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","80484","0.0-6.0-1.5","028","8050","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪71</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>75%</span>
                    </p>","d","binary","B","27","16","16","0","A","B","75","36","",""
"","","","","","html-keyboard-response","18","81118","0.0-6.0-0.6","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","82484","0.0-6.0-1.6","028","1364","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪18</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>25%</span>
                    </p>","a","binary","B","4.95","14","14","0","B","A","45","11","",""
"","","","","","html-keyboard-response","20","83241","0.0-6.0-0.7","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","87444","0.0-6.0-1.7","028","4201","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪76</span>
                      <span>₪43</span>
                    </p>
                    <p class=""lotteries"">
                      <span>65%</span>
                      <span>75%</span>
                    </p>","a","binary","A","49.4","19","19","0","A","B","65","76","",""
"","","","","","html-keyboard-response","22","88365","0.0-6.0-0.8","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","97219","0.0-6.0-1.8","028","8853","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪16</span>
                      <span>₪4</span>
                    </p>
                    <p class=""lotteries"">
                      <span>20%</span>
                      <span>50%</span>
                    </p>","a","binary","A","3.2","17","17","0","A","B","20","16","",""
"","","","","","html-keyboard-response","24","98240","0.0-6.0-0.9","028","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","",""
