binary_id,trinary_id,A_total_trinary,B_total_trinary,A_B_total_trinary,C_total,A_B_C_total,A_ratio_trinary,B_ratio_trinary,C_ABC_ratio,n_trinary,A_total_binary,B_total_binary,A_B_total_binary,A_ratio_binary,B_ratio_binary,n_binary,decoy_effect_A,decoy_effect_B,decoy_direction,decoy_original_direction,catch,amountA,probA,amountB,probB,amountC,probC,direction_match
1,1,103.0,78.0,181.0,5.0,186.0,0.569060773480663,0.430939226519337,0.026881720430107527,62,75.0,105.0,180.0,0.4166666666666667,0.5833333333333334,60,0.1523941068139963,-0.15239410681399634,A,A,0,39,65,64,50,36,60,True
2,2,111.0,74.0,185.0,1.0,186.0,0.6,0.4,0.005376344086021506,62,84.0,96.0,180.0,0.4666666666666667,0.5333333333333333,60,0.1333333333333333,-0.1333333333333333,A,A,0,43,60,71,45,18,50,True
3,3,100.0,85.0,185.0,1.0,186.0,0.5405405405405406,0.4594594594594595,0.005376344086021506,62,72.0,108.0,180.0,0.4,0.6,60,0.14054054054054055,-0.1405405405405405,A,-,0,36,70,64,50,36,30,
4,4,96.0,90.0,186.0,0.0,186.0,0.5161290322580645,0.4838709677419355,0.0,62,101.0,79.0,180.0,0.5611111111111111,0.4388888888888889,60,-0.044982078853046614,0.044982078853046614,B,A,0,64,50,36,75,4,50,False
5,5,80.0,102.0,182.0,4.0,186.0,0.43956043956043955,0.5604395604395604,0.021505376344086023,62,54.0,126.0,180.0,0.3,0.7,60,0.13956043956043956,-0.1395604395604395,A,A,0,36,75,71,55,36,70,True
6,6,98.0,88.0,186.0,0.0,186.0,0.5268817204301075,0.4731182795698925,0.0,62,117.0,63.0,180.0,0.65,0.35,60,-0.12311827956989252,0.12311827956989252,B,B,0,64,25,11,75,4,25,True
7,7,64.0,114.0,178.0,8.0,186.0,0.3595505617977528,0.6404494382022472,0.043010752688172046,62,50.0,130.0,180.0,0.2777777777777778,0.7222222222222222,60,0.08177278401997501,-0.08177278401997501,A,A,0,43,60,61,55,36,60,True
8,8,35.0,147.0,182.0,4.0,186.0,0.19230769230769232,0.8076923076923077,0.021505376344086023,62,25.0,155.0,180.0,0.1388888888888889,0.8611111111111112,60,0.05341880341880342,-0.05341880341880345,A,A,0,79,65,71,75,76,65,True
9,9,113.0,67.0,180.0,6.0,186.0,0.6277777777777778,0.37222222222222223,0.03225806451612903,62,81.0,99.0,180.0,0.45,0.55,60,0.17777777777777776,-0.1777777777777778,A,A,0,43,60,79,40,39,60,True
10,10,55.0,123.0,178.0,8.0,186.0,0.3089887640449438,0.6910112359550562,0.043010752688172046,62,68.0,112.0,180.0,0.37777777777777777,0.6222222222222222,60,-0.06878901373283397,0.06878901373283397,B,A,0,61,45,36,70,58,40,False
11,11,24.0,156.0,180.0,6.0,186.0,0.13333333333333333,0.8666666666666667,0.03225806451612903,62,28.0,152.0,180.0,0.15555555555555556,0.8444444444444444,60,-0.022222222222222227,0.022222222222222254,B,A,0,61,45,43,75,58,45,False
12,12,80.0,99.0,179.0,7.0,186.0,0.44692737430167595,0.553072625698324,0.03763440860215054,62,83.0,97.0,180.0,0.46111111111111114,0.5388888888888889,60,-0.014183736809435188,0.014183736809435188,B,A,0,11,25,4,75,11,20,False
13,13,39.0,143.0,182.0,4.0,186.0,0.21428571428571427,0.7857142857142857,0.021505376344086023,62,27.0,153.0,180.0,0.15,0.85,60,0.06428571428571428,-0.06428571428571428,A,A,0,58,40,36,75,58,30,True
14,14,43.0,138.0,181.0,5.0,186.0,0.23756906077348067,0.7624309392265194,0.026881720430107527,62,41.0,139.0,180.0,0.22777777777777777,0.7722222222222223,60,0.009791282995702894,-0.009791282995702866,A,A,0,18,25,11,45,16,20,True
15,15,123.0,58.0,181.0,5.0,186.0,0.6795580110497238,0.32044198895027626,0.026881720430107527,62,122.0,58.0,180.0,0.6777777777777778,0.32222222222222224,60,0.0017802332719459857,-0.0017802332719459857,A,-,0,39,65,43,60,36,60,
16,16,70.0,115.0,185.0,1.0,186.0,0.3783783783783784,0.6216216216216216,0.005376344086021506,62,90.0,90.0,180.0,0.5,0.5,60,-0.1216216216216216,0.1216216216216216,B,A,0,71,45,36,75,18,50,False
17,17,105.0,73.0,178.0,8.0,186.0,0.5898876404494382,0.4101123595505618,0.043010752688172046,62,104.0,76.0,180.0,0.5777777777777777,0.4222222222222222,60,0.012109862671660476,-0.01210986267166042,A,A,0,16,20,4,50,11,20,True
18,18,160.0,22.0,182.0,4.0,186.0,0.8791208791208791,0.12087912087912088,0.021505376344086023,62,160.0,20.0,180.0,0.8888888888888888,0.1111111111111111,60,-0.009768009768009733,0.009768009768009775,B,A,0,71,55,11,75,58,45,False
19,19,136.0,50.0,186.0,0.0,186.0,0.7311827956989247,0.26881720430107525,0.0,62,140.0,40.0,180.0,0.7777777777777778,0.2222222222222222,60,-0.04659498207885304,0.04659498207885304,B,-,0,76,65,43,75,58,40,
20,20,127.0,54.0,181.0,5.0,186.0,0.7016574585635359,0.2983425414364641,0.026881720430107527,62,126.0,54.0,180.0,0.7,0.3,60,0.0016574585635359407,-0.0016574585635358852,A,A,0,36,30,4,75,16,20,True
21,21,10.0,152.0,162.0,24.0,186.0,0.06172839506172839,0.9382716049382716,0.12903225806451613,62,16.0,164.0,180.0,0.08888888888888889,0.9111111111111111,60,-0.0271604938271605,0.02716049382716046,B,-,0,64,25,58,40,11,45,
22,22,45.0,48.0,93.0,93.0,186.0,0.4838709677419355,0.5161290322580645,0.5,62,95.0,85.0,180.0,0.5277777777777778,0.4722222222222222,60,-0.04390681003584229,0.04390681003584229,B,-,0,18,50,36,30,11,75,
23,23,101.0,80.0,181.0,5.0,186.0,0.5580110497237569,0.4419889502762431,0.026881720430107527,62,96.0,84.0,180.0,0.5333333333333333,0.4666666666666667,60,0.0246777163904236,-0.0246777163904236,A,A,0,18,25,4,75,11,20,True
24,24,57.0,127.0,184.0,2.0,186.0,0.30978260869565216,0.6902173913043478,0.010752688172043012,62,45.0,135.0,180.0,0.25,0.75,60,0.05978260869565216,-0.05978260869565222,A,A,0,43,75,76,65,11,75,True
25,25,58.0,127.0,185.0,1.0,186.0,0.31351351351351353,0.6864864864864865,0.005376344086021506,62,64.0,116.0,180.0,0.35555555555555557,0.6444444444444445,60,-0.04204204204204204,0.04204204204204198,B,A,0,58,45,39,60,11,45,False
26,26,136.0,39.0,175.0,11.0,186.0,0.7771428571428571,0.22285714285714286,0.05913978494623656,62,130.0,50.0,180.0,0.7222222222222222,0.2777777777777778,60,0.054920634920634925,-0.054920634920634925,A,A,0,43,75,61,55,39,65,True
27,27,68.0,26.0,94.0,92.0,186.0,0.723404255319149,0.2765957446808511,0.4946236559139785,62,104.0,76.0,180.0,0.5777777777777777,0.4222222222222222,60,0.14562647754137126,-0.14562647754137115,A,-,0,16,20,11,25,4,75,
