rois,rmse
"['schaefer_109' 'schaefer_263' 'schaefer_267' 'schaefer_289'
 'schaefer_295' 'schaefer_297' 'schaefer_350' 'schaefer_95']",0.08714454425220042
"['schaefer_1' 'schaefer_12' 'schaefer_138' 'schaefer_16' 'schaefer_177'
 'schaefer_252' 'schaefer_257' 'schaefer_355']",0.08454616311317836
"['schaefer_142' 'schaefer_148' 'schaefer_151' 'schaefer_211'
 'schaefer_217' 'schaefer_222' 'schaefer_302' 'schaefer_326']",0.08347867164483119
"['schaefer_187' 'schaefer_271' 'schaefer_30' 'schaefer_33' 'schaefer_335'
 'schaefer_363' 'schaefer_414' 'schaefer_9']",0.08438668203111882
"['schaefer_141' 'schaefer_185' 'schaefer_25' 'schaefer_29' 'schaefer_308'
 'schaefer_319' 'schaefer_46' 'schaefer_47']",0.07815694194032367
"['schaefer_213' 'schaefer_285' 'schaefer_3' 'schaefer_366' 'schaefer_384'
 'schaefer_80' 'schaefer_84' 'schaefer_99']",0.07372407840871992
"['schaefer_126' 'schaefer_132' 'schaefer_178' 'schaefer_23' 'schaefer_29'
 'schaefer_34' 'schaefer_361' 'schaefer_400']",0.08330439348941915
"['schaefer_188' 'schaefer_355' 'schaefer_363' 'schaefer_365'
 'schaefer_401' 'schaefer_50' 'schaefer_55' 'schaefer_89']",0.07975827440866112
"['schaefer_125' 'schaefer_197' 'schaefer_206' 'schaefer_362'
 'schaefer_410' 'schaefer_47' 'schaefer_68' 'schaefer_74']",0.06544500443781791
"['schaefer_171' 'schaefer_224' 'schaefer_346' 'schaefer_375' 'schaefer_38'
 'schaefer_411' 'schaefer_68' 'schaefer_72']",0.08679124422004732
"['schaefer_193' 'schaefer_223' 'schaefer_258' 'schaefer_259'
 'schaefer_299' 'schaefer_32' 'schaefer_34' 'schaefer_60']",0.08175010292665272
"['schaefer_100' 'schaefer_123' 'schaefer_159' 'schaefer_25' 'schaefer_281'
 'schaefer_37' 'schaefer_61']",0.07728733909402868
"['schaefer_164' 'schaefer_166' 'schaefer_247' 'schaefer_284'
 'schaefer_395' 'schaefer_402' 'schaefer_411' 'schaefer_85']",0.0821673152199418
"['schaefer_132' 'schaefer_172' 'schaefer_271' 'schaefer_299'
 'schaefer_312' 'schaefer_318' 'schaefer_48']",0.08248065332151905
"['schaefer_130' 'schaefer_269' 'schaefer_337' 'schaefer_346'
 'schaefer_357' 'schaefer_364' 'schaefer_412' 'schaefer_75']",0.08748008333803112
"['schaefer_160' 'schaefer_208' 'schaefer_226' 'schaefer_272'
 'schaefer_345' 'schaefer_418' 'schaefer_44' 'schaefer_79']",0.08246571761290021
"['schaefer_13' 'schaefer_177' 'schaefer_183' 'schaefer_194' 'schaefer_269'
 'schaefer_314' 'schaefer_72' 'schaefer_93']",0.08136437169262567
"['schaefer_173' 'schaefer_205' 'schaefer_319' 'schaefer_371' 'schaefer_38'
 'schaefer_384' 'schaefer_91' 'schaefer_97']",0.0786096521315661
"['schaefer_137' 'schaefer_212' 'schaefer_232' 'schaefer_320'
 'schaefer_401' 'schaefer_44' 'schaefer_62' 'schaefer_8']",0.07521703901402009
"['schaefer_101' 'schaefer_106' 'schaefer_132' 'schaefer_20' 'schaefer_22'
 'schaefer_273' 'schaefer_338' 'schaefer_406']",0.08759804462942843
"['schaefer_123' 'schaefer_145' 'schaefer_251' 'schaefer_276'
 'schaefer_382' 'schaefer_394' 'schaefer_87' 'schaefer_93']",0.09312155335711894
"['schaefer_134' 'schaefer_149' 'schaefer_216' 'schaefer_253'
 'schaefer_330' 'schaefer_338' 'schaefer_380' 'schaefer_96']",0.08282030597421096
"['schaefer_166' 'schaefer_188' 'schaefer_226' 'schaefer_294'
 'schaefer_319' 'schaefer_350' 'schaefer_401' 'schaefer_408']",0.06609281449240843
"['schaefer_103' 'schaefer_166' 'schaefer_246' 'schaefer_284'
 'schaefer_297' 'schaefer_404' 'schaefer_51' 'schaefer_84']",0.0860293602082478
"['schaefer_190' 'schaefer_3' 'schaefer_309' 'schaefer_347' 'schaefer_381'
 'schaefer_388' 'schaefer_49' 'schaefer_81']",0.08371706226298388
"['schaefer_106' 'schaefer_132' 'schaefer_138' 'schaefer_308'
 'schaefer_355' 'schaefer_384' 'schaefer_400' 'schaefer_67']",0.08245281053417736
"['schaefer_100' 'schaefer_136' 'schaefer_15' 'schaefer_154' 'schaefer_166'
 'schaefer_191' 'schaefer_255' 'schaefer_260']",0.08394290244982282
"['schaefer_115' 'schaefer_195' 'schaefer_323' 'schaefer_407' 'schaefer_46'
 'schaefer_62' 'schaefer_67' 'schaefer_98']",0.05326496003215813
"['schaefer_114' 'schaefer_204' 'schaefer_253' 'schaefer_264'
 'schaefer_325' 'schaefer_334' 'schaefer_47' 'schaefer_71']",0.08877415381250135
"['schaefer_117' 'schaefer_135' 'schaefer_203' 'schaefer_224'
 'schaefer_288' 'schaefer_344' 'schaefer_417']",0.08528308671398294
"['schaefer_145' 'schaefer_188' 'schaefer_195' 'schaefer_205'
 'schaefer_210' 'schaefer_23' 'schaefer_25' 'schaefer_72']",0.07569936236875012
"['schaefer_118' 'schaefer_144' 'schaefer_166' 'schaefer_209'
 'schaefer_244' 'schaefer_264' 'schaefer_306' 'schaefer_339']",0.08189254960814077
"['schaefer_1' 'schaefer_101' 'schaefer_132' 'schaefer_266' 'schaefer_269'
 'schaefer_367' 'schaefer_381' 'schaefer_97']",0.08050600391853452
"['schaefer_119' 'schaefer_137' 'schaefer_225' 'schaefer_307'
 'schaefer_321' 'schaefer_401' 'schaefer_407' 'schaefer_76']",0.07473208330207427
"['schaefer_127' 'schaefer_16' 'schaefer_221' 'schaefer_292' 'schaefer_410'
 'schaefer_411' 'schaefer_69' 'schaefer_9']",0.08234549755439485
"['schaefer_114' 'schaefer_180' 'schaefer_192' 'schaefer_308'
 'schaefer_349' 'schaefer_51' 'schaefer_72' 'schaefer_97']",0.056937075065430734
"['schaefer_132' 'schaefer_143' 'schaefer_195' 'schaefer_2' 'schaefer_292'
 'schaefer_297' 'schaefer_322' 'schaefer_365']",0.08634277675330708
"['schaefer_137' 'schaefer_159' 'schaefer_170' 'schaefer_247'
 'schaefer_308' 'schaefer_35' 'schaefer_374' 'schaefer_8']",0.08602104693218417
"['schaefer_23' 'schaefer_238' 'schaefer_25' 'schaefer_256' 'schaefer_267'
 'schaefer_305' 'schaefer_323' 'schaefer_341']",0.061809948764039335
"['schaefer_108' 'schaefer_123' 'schaefer_262' 'schaefer_267'
 'schaefer_285' 'schaefer_30' 'schaefer_316' 'schaefer_382']",0.08434148383794143
"['schaefer_113' 'schaefer_176' 'schaefer_238' 'schaefer_25' 'schaefer_268'
 'schaefer_285' 'schaefer_374' 'schaefer_80']",0.07552799930907708
"['schaefer_164' 'schaefer_24' 'schaefer_266' 'schaefer_280' 'schaefer_281'
 'schaefer_292' 'schaefer_346' 'schaefer_47']",0.08727216833985466
"['schaefer_10' 'schaefer_117' 'schaefer_133' 'schaefer_18' 'schaefer_23'
 'schaefer_254' 'schaefer_38' 'schaefer_410']",0.07978700452182133
"['schaefer_174' 'schaefer_218' 'schaefer_235' 'schaefer_246'
 'schaefer_261' 'schaefer_336' 'schaefer_385' 'schaefer_7']",0.08352497806727141
"['schaefer_106' 'schaefer_11' 'schaefer_201' 'schaefer_223' 'schaefer_24'
 'schaefer_343' 'schaefer_80' 'schaefer_92']",0.08478724664257237
"['schaefer_298' 'schaefer_307' 'schaefer_332' 'schaefer_34' 'schaefer_404'
 'schaefer_42' 'schaefer_51' 'schaefer_93']",0.09312368766867206
"['schaefer_162' 'schaefer_184' 'schaefer_226' 'schaefer_23' 'schaefer_318'
 'schaefer_53' 'schaefer_83']",0.08199510251048105
"['schaefer_131' 'schaefer_205' 'schaefer_245' 'schaefer_277'
 'schaefer_284' 'schaefer_406' 'schaefer_408' 'schaefer_84']",0.0844763242403756
"['schaefer_102' 'schaefer_132' 'schaefer_252' 'schaefer_298'
 'schaefer_304' 'schaefer_346' 'schaefer_382' 'schaefer_92']",0.08347355864233308
"['schaefer_149' 'schaefer_180' 'schaefer_225' 'schaefer_247'
 'schaefer_280' 'schaefer_41' 'schaefer_44' 'schaefer_77']",0.08752437605937027
"['schaefer_126' 'schaefer_168' 'schaefer_206' 'schaefer_231'
 'schaefer_314' 'schaefer_333' 'schaefer_37' 'schaefer_61']",0.08413350061182351
"['schaefer_110' 'schaefer_171' 'schaefer_2' 'schaefer_203' 'schaefer_29'
 'schaefer_304' 'schaefer_351' 'schaefer_368']",0.08325283325965137
"['schaefer_160' 'schaefer_179' 'schaefer_307' 'schaefer_310'
 'schaefer_322' 'schaefer_326' 'schaefer_408' 'schaefer_82']",0.08860961883038845
"['schaefer_142' 'schaefer_154' 'schaefer_156' 'schaefer_242'
 'schaefer_328' 'schaefer_364' 'schaefer_384' 'schaefer_403']",0.06310707463620926
"['schaefer_119' 'schaefer_124' 'schaefer_153' 'schaefer_263'
 'schaefer_309' 'schaefer_399' 'schaefer_406' 'schaefer_82']",0.07499780674206558
"['schaefer_165' 'schaefer_25' 'schaefer_285' 'schaefer_323' 'schaefer_376'
 'schaefer_380' 'schaefer_56' 'schaefer_74']",0.07364144841019753
"['schaefer_147' 'schaefer_153' 'schaefer_172' 'schaefer_206'
 'schaefer_215' 'schaefer_324' 'schaefer_365' 'schaefer_419']",0.08650852675467201
"['schaefer_172' 'schaefer_20' 'schaefer_301' 'schaefer_321' 'schaefer_37'
 'schaefer_370' 'schaefer_401' 'schaefer_82']",0.0712991175669646
"['schaefer_109' 'schaefer_113' 'schaefer_175' 'schaefer_292'
 'schaefer_307' 'schaefer_41' 'schaefer_84' 'schaefer_99']",0.08028383543396336
"['schaefer_10' 'schaefer_223' 'schaefer_235' 'schaefer_3' 'schaefer_313'
 'schaefer_54' 'schaefer_68' 'schaefer_84']",0.07878558990418323
"['schaefer_135' 'schaefer_181' 'schaefer_19' 'schaefer_27' 'schaefer_365'
 'schaefer_43' 'schaefer_6' 'schaefer_63']",0.08370961743548845
"['schaefer_180' 'schaefer_182' 'schaefer_282' 'schaefer_320'
 'schaefer_328' 'schaefer_414' 'schaefer_47' 'schaefer_95']",0.08654018056562236
"['schaefer_106' 'schaefer_225' 'schaefer_230' 'schaefer_240'
 'schaefer_272' 'schaefer_363' 'schaefer_81' 'schaefer_87']",0.08509809203715303
"['schaefer_101' 'schaefer_118' 'schaefer_176' 'schaefer_252'
 'schaefer_271' 'schaefer_331' 'schaefer_406']",0.0845362376427631
"['schaefer_115' 'schaefer_170' 'schaefer_255' 'schaefer_281'
 'schaefer_311' 'schaefer_68' 'schaefer_81']",0.08331601660199928
"['schaefer_100' 'schaefer_16' 'schaefer_215' 'schaefer_243' 'schaefer_262'
 'schaefer_283' 'schaefer_319' 'schaefer_380']",0.08528884580322835
"['schaefer_295' 'schaefer_347' 'schaefer_408' 'schaefer_61' 'schaefer_74'
 'schaefer_79' 'schaefer_89']",0.07976828348609166
"['schaefer_104' 'schaefer_185' 'schaefer_214' 'schaefer_218'
 'schaefer_246' 'schaefer_259' 'schaefer_34' 'schaefer_62']",0.08469068106596608
"['schaefer_140' 'schaefer_183' 'schaefer_208' 'schaefer_240'
 'schaefer_250' 'schaefer_27' 'schaefer_60' 'schaefer_82']",0.08821544971353408
"['schaefer_199' 'schaefer_244' 'schaefer_245' 'schaefer_262'
 'schaefer_356' 'schaefer_408' 'schaefer_5' 'schaefer_93']",0.0878219678023671
"['schaefer_12' 'schaefer_125' 'schaefer_219' 'schaefer_284' 'schaefer_379'
 'schaefer_393' 'schaefer_4' 'schaefer_56']",0.08360300570791303
"['schaefer_113' 'schaefer_153' 'schaefer_173' 'schaefer_182'
 'schaefer_185' 'schaefer_21' 'schaefer_281' 'schaefer_85']",0.08194826062363181
"['schaefer_171' 'schaefer_282' 'schaefer_3' 'schaefer_303' 'schaefer_318'
 'schaefer_355' 'schaefer_377' 'schaefer_44']",0.08448892867945493
"['schaefer_117' 'schaefer_2' 'schaefer_212' 'schaefer_230' 'schaefer_242'
 'schaefer_245' 'schaefer_379' 'schaefer_417']",0.08514518959691446
"['schaefer_109' 'schaefer_117' 'schaefer_184' 'schaefer_283'
 'schaefer_331' 'schaefer_343' 'schaefer_44' 'schaefer_6']",0.07887892654167689
"['schaefer_147' 'schaefer_250' 'schaefer_251' 'schaefer_258'
 'schaefer_266' 'schaefer_30' 'schaefer_333' 'schaefer_98']",0.08247742898191855
