label,x,y,z,dtseries_row_i,left_hemi,first_rdm_corr,replication_rdm_corr,y_third
1.0,-32.73461839502508,-41.08666830929843,-20.30664204684171,21085.336363636365,1.0,0.1805055036998449,0.0489966248401162,2.0
2.0,-30.28658700758411,-33.91277699096961,-16.71576389848911,22165.608294930877,1.0,0.1086684368516808,-0.044868451710962605,2.0
3.0,-34.12867860794067,-62.14497028986613,-16.090805570284527,21798.908333333333,1.0,0.0875111190913011,0.0844953615373399,1.0
4.0,-25.319567485629577,-54.51066399619217,-7.594505702013745,18346.413612565444,1.0,0.1132610965969686,0.1355317520421184,1.0
5.0,-21.47225298437961,-74.59694556302803,-9.155923652094463,22731.587209302324,1.0,0.2130238545150431,0.25805855532862,1.0
6.0,-31.464270639419556,-82.37804177602132,-13.556844782829284,22321.058333333334,1.0,0.2624448776159016,0.253331740201031,1.0
7.0,-16.59283526939682,-38.27867087834998,-10.155348578585855,13097.696202531646,1.0,-0.0398185310650219,0.0039346784375364,2.0
8.0,-41.80013783772787,-72.32459601040544,-7.180915623756083,21971.75287356322,1.0,0.3588637526486333,0.37452736437614226,1.0
9.0,-14.211360287120325,-87.96177719931566,-11.713570099750548,22553.36641221374,1.0,0.3540987417102043,0.4447573266622859,1.0
10.0,-13.47963432767498,-61.7183943791176,-4.064073945548552,17809.253731343284,1.0,0.0900055891967948,0.1570718321463693,1.0
11.0,-6.828082340413874,-75.24603646018288,-2.572083284028552,22901.48181818182,1.0,0.3330367840328434,0.2437100609034252,1.0
12.0,-23.732630749338682,-95.28449013306923,-8.43833597319335,22060.201030927834,1.0,0.3966657837777864,0.37377472783800453,1.0
13.0,-12.310237315393262,-42.25830231943438,-3.6777985451382493,425.85483870967744,1.0,-0.0114271966434524,0.077708697257691,2.0
14.0,-36.81896529158926,-86.63277410491695,-1.6429569681491647,20521.62601626016,1.0,0.4300695040585863,0.2668651516858524,1.0
15.0,-10.148093786968547,-96.24950282588885,-3.934675731583481,22326.56687898089,1.0,0.5558192066478906,0.5742008404211953,1.0
16.0,-15.230060776074728,-52.36098626454671,-0.4576025393791497,5988.008333333333,1.0,0.1060678442953506,0.0925263082355207,1.0
17.0,-43.733691721655134,-73.62917920331049,5.367286203377073,15269.59217877095,1.0,0.2524913078602196,0.126542951637134,1.0
18.0,-5.932428089471964,-87.38681641603128,1.1100365752593064,23225.333333333332,1.0,0.3875688915639249,0.3589908349579143,1.0
19.0,-24.04925467870007,-93.98310486257893,6.254873672168549,19539.479452054795,1.0,0.4821358266065939,0.4990246599624709,1.0
20.0,-11.156234890581613,-48.426432598068054,3.6690265821764267,2277.253012048193,1.0,0.0931372896515273,0.0517157598936156,1.0
21.0,-8.96290671825409,-75.91505430410574,8.732962735064396,23619.513513513513,1.0,0.3196269385390352,0.1888640080013821,1.0
22.0,-19.821517792615023,-63.31787425821478,5.876449674706567,21373.289772727272,1.0,0.1728995391949035,0.1345591700871645,1.0
23.0,-36.86537127108187,-82.94568036053631,13.789619448378279,13706.87027027027,1.0,0.3371472738616771,0.2657908427129212,1.0
24.0,-12.63660347526138,-95.39241749531514,14.94545874724517,21111.762162162162,1.0,0.467871622927816,0.43102608920592594,1.0
25.0,-4.178200954046005,-85.6025179838523,22.092408400315506,23224.891025641027,1.0,0.2639829227674586,0.1080376371539031,1.0
26.0,-12.507377116303696,-71.39926026996814,20.256712010032253,24000.91447368421,1.0,0.23958922130885002,0.1806242110589035,1.0
27.0,-25.456125058002353,-83.4801508269695,20.355037914299817,12296.012422360249,1.0,0.3889774600524166,0.283066003115404,1.0
28.0,-31.18561062180852,-81.0892402924687,26.675887946622918,12699.506024096385,1.0,0.2916870649547575,0.138304947644238,1.0
