,UID,Date,Group,Female,RightHanded,Glasses,Age
0,007,2024-01-31,Trinary,1.0,1.0,1.0,27.0
1,008,2024-02-04,Binary,1.0,1.0,0.0,28.0
2,009,2024-02-06,Trinary,0.0,1.0,0.0,31.0
3,010,2024-02-08,Binary,0.0,1.0,0.0,25.0
4,011,2024-02-11,Trinary,0.0,1.0,0.0,27.0
5,012,2024-02-12,Binary,1.0,1.0,0.0,21.0
6,013,2024-02-13,Trinary,0.0,1.0,0.0,25.0
7,014,2024-02-13,Binary,0.0,1.0,0.0,25.0
8,015,2024-02-14,Trinary,1.0,1.0,1.0,26.0
9,016,2024-02-18,Binary,1.0,1.0,1.0,26.0
10,017,2024-02-19,Trinary,1.0,1.0,0.0,22.0
11,018,2024-02-19,Binary,0.0,1.0,1.0,24.0
12,019,2024-02-20,Trinary,0.0,1.0,0.0,23.0
13,020,2024-02-22,Binary,1.0,1.0,0.0,26.0
14,021,2024-02-25,Trinary,1.0,1.0,1.0,23.0
15,022,2024-02-28,Binary,1.0,1.0,1.0,24.0
16,023,2024-02-29,Trinary,1.0,1.0,1.0,23.0
17,024,2024-03-03,Binary,1.0,1.0,0.0,23.0
18,025,2024-03-05,Trinary,0.0,0.0,0.0,23.0
19,026,2024-03-06,Binary,1.0,1.0,1.0,25.0
20,027,2024-03-12,Trinary,0.0,1.0,0.0,29.0
21,028,2024-06-02,Binary,0.0,1.0,0.0,27.0
22,029,2024-06-11,Trinary,0.0,1.0,0.0,26.0
23,030,2024-06-13,Binary,1.0,0.0,1.0,24.0
24,031,2024-06-16,Trinary,1.0,1.0,1.0,23.0
25,003,2023-08-07,Binary,1.0,1.0,1.0,34.0
26,002,2023-07-24,Trinary,0.0,1.0,1.0,34.0
27,005,2023-09-20,Binary,1.0,1.0,1.0,31.0
28,004,2023-08-07,Binary,1.0,1.0,1.0,34.0
29,001,2023-07-04,Binary,1.0,1.0,0.0,27.0
