area,effective_dims,label
schaefer_333,2.74183786332916,333
schaefer_165,2.753382355998962,165
schaefer_129,2.7887051824166296,129
schaefer_332,2.827903609374894,332
schaefer_131,2.9685218065652417,131
schaefer_336,3.124205023095364,336
schaefer_128,3.228529619485588,128
schaefer_249,3.3306817467991032,249
schaefer_334,3.3990731601117763,334
schaefer_127,3.456589297598549,127
schaefer_337,3.4701049915665787,337
schaefer_300,3.490405552269463,300
schaefer_45,3.502438480355352,45
schaefer_62,3.5415780155248373,62
schaefer_130,3.561803722762445,130
schaefer_164,3.564215789610729,164
schaefer_278,3.595709726675557,278
schaefer_19,3.611911293814548,19
schaefer_263,3.691280151758764,263
schaefer_366,3.697802390928104,366
schaefer_365,3.720371256454172,365
schaefer_208,3.753636219120583,208
schaefer_335,3.7765011348369937,335
schaefer_223,3.789628928797725,223
schaefer_78,3.795202344690644,78
schaefer_162,3.803150341387075,162
schaefer_132,3.8289413631955087,132
schaefer_144,3.835404670347045,144
schaefer_277,3.8509113299377606,277
schaefer_280,3.858968162016575,280
schaefer_76,3.883708511721209,76
schaefer_364,3.920428774742748,364
schaefer_221,3.926731093146512,221
schaefer_82,3.93425165335692,82
schaefer_75,3.975973764022576,75
schaefer_46,4.035020892797547,46
schaefer_85,4.053695249146776,85
schaefer_95,4.054078560591111,95
schaefer_253,4.064187269727911,253
schaefer_48,4.073406220872636,48
schaefer_199,4.079683175039517,199
schaefer_24,4.084295773661516,24
schaefer_285,4.088767804259338,285
schaefer_53,4.098643651706428,53
schaefer_356,4.104391051356821,356
schaefer_248,4.113241213327642,248
schaefer_281,4.149293495455318,281
schaefer_264,4.166590330035451,264
schaefer_276,4.167064797184773,276
schaefer_210,4.170277572722823,210
schaefer_59,4.197934446412826,59
schaefer_257,4.1999377362111066,257
schaefer_279,4.20017456658512,279
schaefer_66,4.215984960688584,66
schaefer_52,4.229202832340708,52
schaefer_60,4.245659008580226,60
schaefer_31,4.262153328097797,31
schaefer_399,4.283469134209274,399
schaefer_77,4.3289112377048,77
schaefer_275,4.334803192364768,275
schaefer_83,4.353666271728815,83
schaefer_81,4.361306030613399,81
schaefer_74,4.3810921544312205,74
schaefer_84,4.397893990433262,84
schaefer_42,4.398347442835204,42
schaefer_163,4.400103786713893,163
schaefer_73,4.405943586587137,73
schaefer_288,4.407024715988653,288
schaefer_213,4.4091120947795215,213
schaefer_247,4.421450089947468,247
schaefer_194,4.433616471507214,194
schaefer_373,4.44746751267586,373
schaefer_68,4.474320061385358,68
schaefer_14,4.488046272903508,14
schaefer_266,4.493577348285389,266
schaefer_258,4.493878881823703,258
schaefer_393,4.496677403784681,393
schaefer_299,4.502103278774188,299
schaefer_80,4.505803692715571,80
schaefer_245,4.506383411884222,245
schaefer_259,4.527504504482178,259
schaefer_145,4.533345831113189,145
schaefer_218,4.543163366469253,218
schaefer_296,4.546297005006357,296
schaefer_274,4.548791912447351,274
schaefer_28,4.549236431317138,28
schaefer_88,4.550783507815854,88
